Keyword,Answer
Comorbid disorders,"Comorbid disordersGastrointestinal disorders, particularly constipation and chronic diarrhea, are more common in children with ASD. The risk ofgastrointestinal disorders increases with the severity of autism symptoms.[111]  Additionally, cancer,[112]  cerebral palsy,[113]  attention-deficit/hyperactivity disorder,[113]  insomnia and other sleep disorders,[114]  and epilepsy[115] are conditionsmore common in ASD. Psychiatric conditions common in ASD include psychosis,[116]  depression,[117]  and anxietydisorders including specific phobias and obsessive-compulsive disorder (OCD).[118, 119, 120]"
Patient Education,"Patient EducationBecause local boards of education may be ignorant about the needs of children with ASD and related conditions,pediatricians and parents should seek advice from knowledgeable sources such as the Autism Society, which maintains aWeb site and offers a toll-free hotline at 1-800-3-AUTISM (1-800-238 8476), providing information and referral services tothe public. Legal assistance may be necessary to influence a board of education to fund appropriate education for a childwith ASD and related conditions.People with developmental disabilities, including ASD, are vulnerable to sexual abuse, with the most severely disabled beingat highest risk. Parents and caregivers need to be aware of this increased risk. Additionally, children with ASD must betrained to recognize impending sexual abuse and to develop plans of action to abort it.[121]Almost half of a sample of more than 1000 children with ASD exhibited elopement, wandering away from home, school, andother safe environments.[122] Parents of children with ASD need to be warned that there is a fair chance that their child,without warning, may walk away from home or school to go to an environment where there is a risk for potential danger.Additionally, parents need to be advised to request that teachers and other caregivers vigilantly watch the child to preventelopement."
Obtaining informed consent,"Obtaining informed consentPeople with ASD are identified as a highly vulnerable population because of the presence of cognitive, social, and mentalimpairments. Regulatory agencies have expressed particular concern that the rights of children with ASD and relatedconditions be carefully protected.Some have suggested that parents may not be impartial guardians and that third parties be used instead of parents toprovide informed consent for clinical and research purposes. However, parents are generally excellent advocates seekingthe best for their children. Nevertheless, clinicians must take particular care to ensure that informed consent is obtained inorder to prevent misinterpretations and eventual medicolegal problems.Except in emergencies, patients, parents, guardians, and surrogates must be aware of the diagnostic and treatmentpossibilities and must provide permission for possible interventions. By making a video recording of the process ofexplaining to the parent the recommended procedures, in addition to the signing of written release forms, the clinicianestablishes evidence that he/she imparted appropriate information to the correct party."
Additional resources,"Individuals with autism and related conditions, as well as their advocates, can benefit from the experiences of other individuals and advocates who are dealing with autism. (See the organizations and resources listed below.) Autism Society 4340 East-West Highway, Suite 350 Bethesda, MD 20814 Phone: 1-800-328-8476 URL http://www.autism-society.org/ Autism Canada 140 Yonge Street, Suite 200 Toronto, Ontario MSC 1X6 Canada URL https://autismcanada.org/about-us one-strong-voice/autism-society-canada/ The National Autistic Society 393 City Road London EC1V 1NG United Kingdom Phone: +44 (0)20 7833 2299 FAX: +44 (0)20 7833 9666 Email: nas@nas.org.uk URL: https://www.autism.org.uk The National Institute of Mental Health Information Resource Center Office of Science Policy, Planning, and Communications 6001 Executive Boulevard, Room 6200, MSC 9663 Bethesda, Maryland 20892-9663 Phone: 1 866 615 6464 Fax: 1 301 443 4279 Email: nimhinfo@nih.gov URL: http://www.nimh.nih.gov/health/topics/autism-spectrum-disorders-pervasive-developmental-disorders/index.shtml Autism Research Institute Phone: 833 281 7165 email info@autism.org URL: https://www.autism.com/"
History,"Behavioral and developmental features that suggest ASD[1] include the following: Developmental regression Absence of protodeclarative pointing Abnormal reactions to environmental stimuli Abnormal social interactions Absence of symbolic play Repetitive and stereotyped behavior"
Developmental regression,"Between 13% and 48% of people with ASD have apparently normal development until age 15-30 months, when they loseverbal and nonverbal communication skills. These individuals may have an innate vulnerability to develop ASD. Althoughregression may be precipitated by an environmental event (eg, immune or toxic exposures), it may result from acombinatiion of epigenetic vulnerabilities and environmental events."
Protodeclarative pointing,"Protodeclarative pointingProtodeclarative pointing is the use of the index finger to indicate an item of interest to another person. Toddlers typicallylearn to use protodeclarative pointing to communicate their concern for an object to others. The absence of this behavior ispredictive of a later diagnosis of ASD.[123, 124]The presence of protodeclarative pointing can be assessed by interview of the parent or caregiver. Screening questionsinclude ""Does your child ever use his or her index finger to point, to indicate interest in something?"" A negative response tothis question suggests the need for a specialized assessment for possible ASD."
Environmental stimuli,"Environmental stimuliIn contrast to toddlers with delayed or normal development, toddlers with ASD are much more interested in geometricpatterns. Toddlers who prefer dynamic geometric patterns to participating in physical activities such as dance merit referralfor evaluation for possible ASD.Parents of children with ASD report unusual responses to environmental stimuli, including excessive reaction or anunexpected lack of reaction to sensory input. Certain sounds (eg, vacuum cleaners or motorcycles) may elicit incessantscreaming. Playing a radio, stereo, or television at a loud level may appear to produce hyperacusis, a condition in whichordinary sounds produce excessive auditory stimulation of a painful magnitude. Sometimes parents must rearrange thefamily routine so that the child is absent during noisy housekeeping activities.Children with ASD may also display exaggerated responses or rage to everyday sensory stimuli, such as bright lights ortouching."
Social interactions,"Social interactionsIndividuals with ASD may display a lack of appropriate interaction with family members.[125] Moreover, difficulties in socialinteractions are common. Children may have problems making friends and understanding the social intentions of other emedicine.medscape.com/article/912781-print children and may instead show attachments to objects not normally considered child oriented. Although children with ASDmay want to have friendships with other children, their actions may actually drive away these potential companions. Theymay also exhibit inappropriate friendliness and lack of awareness of personal space.Isolation likely increases in adolescence and young adulthood. Interviews with a representative sample of 725 youths withASD (mean age 19.2 y) determined that the majority had not in the preceding year gotten together with friends or evenspoken with a friend on the telephone.[126]"
High pain threshold,"An absence of typical responses to pain and physical injury may also be noted. Rather than crying and running to a parentwhen cut or bruised the child may display no change in behavior. Sometimes parents do not realize that a child with autismsepctrum disorder is hurt until they observe the lesion. Parents often report that they need to ask the child if something iswrong when the child's mood changes, and may need to examine the child's body to detect injury."
Language,"Speech abnormalities are common. They take the form of language delays and deviations. Pronominal reversals are common including saying "you" instead of "I." Some speech habits such as repeating words and sentences after someone else says them using language only the child understands or saying things whose meaning is not clear may occur not only in ASD but in other disorders as well."
Play,"Playing a radio, stereo, or television at a loud level may appear to produce hyperacusis, a condition in whichordinary sounds produce excessive auditory stimulation of a painful magnitude. Sometimes parents must rearrange thefamily routine so that the child is absent during noisy housekeeping activities.Children with ASD may also display exaggerated responses or rage to everyday sensory stimuli, such as bright lights ortouching.Social interactionsIndividuals with ASD may display a lack of appropriate interaction with family members.[125] Moreover, difficulties in socialinteractions are common. Children may have problems making friends and understanding the social intentions of other emedicine.medscape.com/article/912781-print children and may instead show attachments to objects not normally considered child oriented. Although children with ASDmay want to have friendships with other children, their actions may actually drive away these potential companions. Theymay also exhibit inappropriate friendliness and lack of awareness of personal space.Isolation likely increases in adolescence and young adulthood. Interviews with a representative sample of 725 youths withASD (mean age 19.2 y) determined that the majority had not in the preceding year gotten together with friends or evenspoken with a friend on the telephone.[126]High pain thresholdAn absence of typical responses to pain and physical injury may also be noted. Rather than crying and running to a parentwhen cut or bruised, the child may display no change in behavior. Sometimes, parents do not realize that a child with autismsepctrum disorder is hurt until they observe the lesion. Parents often report that they need to ask the child if something iswrong when the child's mood changes, and may need to examine the child's body to detect injury.LanguageSpeech abnormalities are common. They take the form of language delays and deviations. Pronominal reversals arecommon, including saying ""you"" instead of ""I."" Some speech habits, such as repeating words and sentences after someoneelse says them, using language only the child understands, or saying things whose meaning is not clear, may occur not onlyin ASD but in other disorders as well.PlayBaron-Cohen and colleagues demonstrated that the absence of symbolic play in infants and toddlers is highly predictive of alater diagnosis of ASD.[123, 124, 1] Therefore, screening for the presence of symbolic play is a key component of theroutine assessment of well babies. The absence of normal pretend play indicates the need for referral for specializeddevelopmental assessment for autism spectrum disorder and other developmental disabilities.Odd play may take the form of interest in parts of objects instead of functional uses of the whole object. For example, a childwith ASD may enjoy repeatedly spinning a wheel of a car instead of moving the entire car on the ground in a functionalmanner.[125]Observation of the signs of ASD in young children[127] is an indication for referral for specialized diagnostic and therapeuticinterventions.Children with ASD may enjoy repeatedly lining up objects or dropping objects from a particular height. They may also befascinated with items that are not typical toys, such as pieces of string, and may enjoy hoarding rubber bands, paper clips,and pieces of paper. In addition, children with ASD may spend hours watching traffic lights, fans, and running water. Someparents report that they must lock the bathroom door to prevent the child from flushing the toilet all day long."
Response to febrile illnesses,"Children with ASD may be particularly vulnerable to develop infections and febrile illnesses due to immunologic problems. By seeking pediatric intervention promptly at the onset of infections and febrile illnesses parents may be able to abort sequelae of chronic infections. During a febrile illness children with ASD may show a decrease in behavioral abnormalities that plague the parents when the child is well (eg self-injurious behaviors aggression toward others property destruction temper tantrums hyperactivity). This inhibition of negative behaviors may occur with various febrile illnesses including ear infections upper respiratory tract infections and childhood illnesses. (A parent may say "When he is suddenly an angel I know that he has an ear infection.")The recovery of the child from the febrile illness may be accompanied by an abrupt return of the child's usual problematic behaviors."
Autism Screening Checklist,"children and children with some pervasive developmental disorders; a "no" occurs in children with autism Rett syndrome and other developmental disorders. Item 2 - A "yes" occurs in healthy children not children with autism. Item 3 - A "yes" occurs in healthy children and children with Asperger syndrome (ie high-functioning autism); a "no" occurs in children with Rett syndrome; children with autism may elicit a "yes" or a "no"; some children with autism never speak; some children with autism may develop speech normally and then experience a regression with the loss of speech. Item 4 - A "yes" occurs in healthy children and children with Asperger syndrome and some other pervasive developmental disorders; a "no" occurs in children with developmental disorders; children with autism may elicit a "yes" or a "no." Items 5-10 - Scores of "yes" occur in some children with autism and in children with other disorders. Item 11 – A "yes" occurs in healthy children; a "no" occurs in some children with autism and in children with other disorders. Items 12 13 - Scores of "yes" occur in some children with autism and in children with other disorders. Items 14-19 - Scores of "yes" occur in children with schizophrenia and other disorders not in children with autism Asperger syndrome or other autism spectrum disorders. The higher the total score for items 5-10 12 and 13 on the Autism Screening Checklist the more likely the presence of an autism spectrum disorder. The significance of answers to individual Autism Screening Checklist items is as follows: Item 1- A "yes" occurs in healthy children and children with some pervasive developmental disorders; a "no" occurs in children with ASD and other developmental disorders Item 2 - A "yes" occurs in healthy children not children with ASD Item 3 - A "yes" occurs in healthy children and children with Asperger syndrome (ie high-functioning ASD); children with ASD may elicit a “yes” or a "no"; some children with ASD never speak; some children with ASD may develop speech normally and then experience a regression with the loss of speech Item 4 - A "yes" occurs in healthy children and children with Asperger syndrome (ie high-functioning ASD); a "no" ccurs in children with developmental disorders; children with ASD may elicit a "yes" or a "no" Items 5-10 - Scores of "yes" occur in some children with ASD. Item 11  A "yes" occurs in healthy children; a "no" occurs in some children with ASD. Items 12 13 - Scores of "yes" occur in some children with ASD. Items 14-19 - Scores of "yes" occur in children with schizophrenia and other disorders not in children with ASD. The higher the total score for items 5-10 12 and 13 on the Autism screening checklist the more likely that an ASD is"
Screening,"Screening well babies for signs predictive of autism spectrum disorder is important.[1] Baron-Cohen and colleaguesobserved that abnormalities in pretend play, gaze monitoring, and protodeclarative pointing noted in toddlers during well-child visits in the United Kingdom were useful in predicting the later diagnosis of ASD.[123, 124]Baron-Cohen and colleagues developed a set of valid and reliable tools to screen for ASD over the lifespan,[128] includingthe Checklist for Autism in Toddlers (CHAT) and its revisions, the Modified CHAT (MCHAT) and the Quantitative CHAT(QCHAT), for newborns and toddlers,[123, 124, 129] as well as the Autism-Spectrum Quotient (AQ), for children,[130]adolescents,[131] and adults.[132] The possible cultural limitations of these tools in different ethnic groups in variousgeographic regions remain to be demonstrated.Pretend playIn screening for the presence of symbolic play, other make-believe play may be substituted based on cultural relevance. Thechild should respond appropriately to a pretend activity compared with most other children of the same culture.Gaze monitoringThe assessment of normal gaze monitoring, suggested by Baron-Cohen and colleagues, consists of the following steps: (1)the clinician calls the child's name, points to a toy on the other side of the room, and says, ""Oh look! There's a [name atoy]!"";[123, 124] (2) if the child looks across the room to see the item indicated by the clinician, then a joint attention isestablished, indicating normal gaze monitoring.Protodeclarative pointingBaron-Cohen and colleagues established the following protocol to assess for the presence of protodeclarative pointing:Say to the child, “Where's the light?” or “Show me the light”A normal response is for the child to point with his or her index finger at the light while looking up at the clinician'sface[123, 124]If the child does not respond appropriately, the procedure may be repeated with a teddy bear or any otherunreachable objectExecutive functionDeficits in executive function have been generally observed in people with ASD.[133]"
Body movement,"Body movementClumsiness, awkward walk, and abnormal motor movements are characteristic features of ASD. Manifestations of attentiondeficit hyperactivity disorder that are very often associated with ASD include hyperkinesis and stereotypies.Common abnormal motor movements in children with ASD include hand flapping, in which the upper extremity is rapidlyraised and lowered with a flaccid wrist so that the hand flaps like a flag in the wind. Hand flapping typically occurs when thechild is happy or excited. It may occur in combination with movement of the entire body, such as bouncing (ie, jumping upand down) and rotating (ie, constantly spinning around a vertical axis in the midline of the body).Children with ASD also often display motor tics and are unable to remain still. Because children with ASD are oftenintellectually impaired and nonverbal, expressing subjective experiences associated with the movement is often impossiblefor them. Thus, the diagnosis of akathisia cannot be applied in these cases, because this diagnosis requires theverbalization of a sensation of inner restlessness and an urge to move."
Head and hand features,"Head and hand featuresAberrant palmar creases and other dermatoglyphic anomalies are more common in children with ASD.Although the head circumference of children with ASD may be small at birth, many children with autism spectrumdisorder experience a rapid increase in the rate of growth from age 6 months to 2 years.[4] The head circumference isincreased in a subgroup of approximately one fifth of the population of children with ASD without known comorbidconditions.[134] Increased head circumference is more common in boys and is associated with poor adaptive behavior. Thehead circumference may return to normal in adolescence.[5]"
Movement assessment,"Movement assessmentPatients with ASD merit a careful assessment of movements. The caregiver and clinicians may be asked whether the patientshows any unusual motions in the mouth, face, hands, or feet and, if so, may be asked to describe them and how theybother the patient. emedicine.medscape.com/article/912781-print The patient may be asked to sit on the chair with legs slightly apart, feet flat on the floor, and hands hanging supportedbetween the legs or hanging over the knees. The patient may be asked to open his or her mouth and then twice to stick outthe tongue.If the subject does not perform the requested action, the examiner then repeatedly performs the actions in the direct view ofthe subject to demonstrate the desired actions.The patient may be asked to sit, stand, and lie on a sheet on the floor for 2 minutes in each position and to remainmotionless while in each posture. In each position, the patient is asked, ""Do you have a sensation of inner restlessness?""and ""Do you have the urge to move?"" These questions require an appropriate developmental level for a useful response.Therefore, most children with ASD cannot respond appropriately.In the absence of a clear verbal response, the subjective items are not rated. Nevertheless, the objective behavior of thechild can be observed and rated."
Assessing stereotypies,"Movements observed in individuals with ASD are frequently classified as stereotypies (eg, purposeless, repetitive, patterned motions, postures, and sounds). Stereotypies are divided into the following 3 topologic classes: Orofacial - Eg, tongue, mouth, and facial movements; smelling; and sniffing and other sounds Extremity - Eg, hand, finger, toe, and leg Head and trunk - Eg, rolling, tilting, or banging of the head, and rocking of the body Stereotypies occur in infants with ASD and in children with intellectual disability. Regular assessment of stereotypies is a valuable practice because stereotypies may bother other people and interfere with performance at school, work, and home. Routine assessment of stereotypies before, during, and after treatment is valuable in determining the effects of interventions. Stereotypies are assessed for clinical purposes through regular use of the Timed Stereotypies Rating Scale. For this procedure, the occurrence of stereotypies is noted during 30-second intervals over a 10-minute period. For additional information about the rating of stereotypies, please see Tardive Dyskinesia."
Self-injurious behaviors,"A particularly serious form of stereotypy is self-injurious behavior. Self-injury may take any of the following forms: Picking at the skin Self-biting Head punching and slapping Head-to-object and body-to-object banging Body punching and slapping Poking the eye, the anus, and other body parts Lip chewing Removal of hair and nails Teeth banging Self-injury can result in morbidity and mortality. For example, eye poking and head banging may cause retinal detachments resulting in blindness. Although only a minority of the population of chi"
Physical abuse,"Children with ASD and related conditions may persist incessantly with repetitive behaviors that annoy others, despite instructions to cease. Children with ASD typically do not respond to spanking and other forms of traditional discipline. Parents, teachers, and others may eventually lose control and inflict physical injury on the child. For this reason, children with ASD are at high risk for physical abuse; in addition, when physical abuse occurs, these children may not report it. Therefore, pediatricians and other healthcare providers must maintain a high level of suspicion for the possibility of physical abuse when assessing children with ASD and must conduct regular, careful physical examinations."
Sexual abuse,"Sexual abuse Unlike many other children with intellectual disability, children with ASD are typically physically normal in appearance,without dysmorphic features. They may be beautiful children and, thus, may attract the interest of those who are sexuallyaroused by children. Children with ASD may lack ability to communicate inappropriate sexual contact to responsibleauthorities.Thus, parents, teachers, health-care providers, and others must maintain a high level of suspicion for the possibility ofsexual abuse when assessing children with ASD. On physical examination, external examination of genitalia is appropriate.If bruises and other evidence of trauma are present, then pelvic and rectal examinations may be indicated."
Examination of siblings,"Examination of siblingsSiblings of children with ASD are at risk for developing traits of autism spectrum disorder and even a full-blown diagnosis ofASD. A tenth of the siblings of children with ASD meet the diagnostic criteria for ASD. An additional fifth of siblings ofchildren with ASD have delayed development of language.[59] Screening should be performed not only for autism-relatedsymptoms but also for language delays, learning difficulties, social problems, and anxiety or depressive symptoms.[3]  TheAmerican College of Medical Genetics and Genomics identified the risks of a siblings developing ASD as 4% if the probandis male, 7% if the proband is female, and greater than or equal to 30% if there are two or more affected children.[135] DDx"
Diagnostic Considerations,"Diagnostic ConsiderationsCriteria for the diagnosis of ASD are included in the Diagnostic and Statistical Manual of Mental Disorders, Fifth Edition(DSM-5), and the International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10).[6, 136]Although the criteria for ASD differ between the DSM-5 and the ICD-10, they are both widely accepted and are used aroundthe world by clinicians and researchers.A discussion of the differences in the criteria for ASD and related conditions in the DSM-5, the ICD-10, and othernomenclatures is beyond the scope of this article. The key point for pediatricians and other clinicians is that the criteria forASD and related conditions in the DSM-5 and the ICD-10 are presented in an outline form without a discussion of the termsused.The DSM-5 and the ICD-10 are poor textbooks of child development and child psychopathology; they do not fully describethe concepts incorporated in the criteria for ASD and related conditions. Therefore, an inexperienced clinician is likely toincorrectly apply the criteria for ASD and related conditions in the DSM-5 and the ICD-10.The diagnosis of Autism Spectrum Disorder in DSM-5 has 2 key criteria:[6]Impairments in social communication and social interactionA restricted, repetitive range of interests, behaviors, and activities"
Diagnostic error and clinician experience,"Diagnostic error and clinician experienceTo administer tools for the diagnosis of ASD and related conditions in a reliable and valid manner requires extensive trainingand experience. Therefore, unless they have wide experience with children with ASD and understand the concepts implicitin the diagnostic criteria and rating scales, pediatricians and other clinicians are advised to refer patients with possible ASDto experienced clinicians for definitive diagnostic evaluations.Delayed diagnosis of ASD and related conditions is a serious problem, because early initiation of treatment increases thelikelihood of a favorable outcome. Many parents report raising concerns to their pediatricians about the patient'sdevelopment in the first months and years and being told only that the child will outgrow the problem."
Screening tests,"Screening testsProcedures are available for diagnostic screening by practicing pediatricians, including the Checklist for Autism in Toddlers(CHAT) and its revisions, the Modified CHAT (MCHAT) and the Quantitative CHAT (QCHAT).[123, 124] Some items of theCHAT appear to have strong cultural biases that rule out the direct application of this instrument to populations outside theUnited Kingdom; however, cross-cultural adaptions of CHAT have been prepared.[137]However, the 3 items of the CHAT that are highly predictive of the development of ASD (ie, protodeclarative pointing, gazemonitoring, pretend play) can be quickly assessed by clinicians during well-baby visits (see Presentation for detaileddescriptions of these items). Pediatricians can facilitate early diagnosis of ASD and related conditions by performing ascreening procedure at every visit, including well-baby check-ups, school examinations, and immunization appointments.[1] emedicine.medscape.com/article/912781-print Assessment of motor and self-care skills in children with ASD is recommended to address clumsiness and sensory issues.[138] If a standardized test to assess sensory processing difficulties is warranted, one of the following tools isrecommended:[139]Sensory Processing Measure - For children aged 5-12 yearsShort Sensory Profile - For children aged 37 months to 9 yearsInfant/Toddler Sensory Profile - For children aged 7-36 months"
Cultural considerations,"Cultural considerationsOf note are cultural considerations in the evaluation of a child with possible ASD. Cultural and familial differences exist inexpectations regarding eye contact, play, social interaction, and pragmatic use of language. When English is not the family’sprimary language, professionals should be conscious of finding ways to communicate effectively with the family, includingfinding professionals and/or translators who speak the primary language.[140]"
Other disorders,"Other disordersOther disorders to consider in the differential diagnosis of ASD are as follows:44,XXX karyotype47 chromosomes(7;20) balanced chromosomal translocationAngelman syndromeDeletion 1p35Duplication of bands 15q11-13Extra bisatellited marker chromosomeHabit disorderInfantile hydrocephalusInterstitial deletion of (17)(p11.2)Inv Dup (15)(pter->q13)Language disorder - Mixed, phonologic, receptive, or stutteringLong Y chromosomeMinamata diseaseMoebius syndromeNonketotic hyperglycinemia (NKH)Partial 6p trisomyEpilepsyInfantile spasmsTourette disorderTrisomy 22Children with lead poisoning may demonstrate neurobehavioral changes. Constipation, abdominal pain, and/or anorexia arecommon. Lead poisoning in children at risk should be ruled out through appropriate testing."
Age of onset,"Age of onsetASD manifests in early childhood. For information about individuals with later onset of symptoms consistent with ASD, seethe following articles: emedicine.medscape.com/article/912781-print Childhood Disintegrative DisorderRett SyndromePervasive Developmental DisorderMany parents report normal development in their child until age 2 years before noticing the deficits in social andcommunicative skills."
Differential Diagnoses,Differential DiagnosesAnxiety Disorder: Obsessive-Compulsive DisorderAnxiety Disorder: TrichotillomaniaAttachment DisordersCongenital Rubella SyndromeCornelia De Lange SyndromeCri-du-chat SyndromeDissociative Identity DisorderDown SyndromeEmergent Management of Lead ToxicityFailure to ThriveFragile X SyndromePhysical Child AbusePrader-Willi SyndromeRett SyndromeWilliams SyndromeWorkup Workup
Approach Considerations,"Approach ConsiderationsSeveral instruments have been developed to diagnose ASD. Administering these tools in a reliable and valid mannerrequires extensive training and experience. Therefore, unless they have considerable experience with children with ASD andunderstand the concepts implicit in the diagnostic criteria and rating scales, pediatricians and other clinicians are advised torefer patients with possible ASD[1] to experienced clinicians for definitive diagnostic evaluations.Experienced clinicians are able to identify particular deficits in children with ASD and institute effective treatments.Identification of the key dimensions characteristic of ASD may be a more accurate means of distinguishing subtypes of thisdisorder.[141]The utilization of broader criteria for ASD will likely result in innovations in the identification of affected children. There willalso likely be further developments in the institution of interventions for this disorder.[32]"
Metabolic studies,"Several metabolic abnormalities have been identified in investigations of people with ASD. However, biologic markers for ASD do not yet exist. No blood studies are recommended for the routine assessment of children with ASD."
Neuroimaging,"NeuroimagingThere is currently no clinical evidence to support the role of routine clinical neuroimaging in the diagnostic evaluation ofASD, even in the presence of megalencephaly.[3] Studies of various imaging techniques have yielded inconsistent results, emedicine.medscape.com/article/912781-print and although characteristic abnormalities have been identified, no single finding is diagnostic."
Electroencephalography,"Electroencephalography is useful for ruling out a seizure disorder (present in a third of children with autism spectrum disorder), acquired aphasia with convulsive disorder (Landau-Kleffner syndrome), biotin-responsive infantile encephalopathy, and related conditions."
Psychophysiologic assessment,"Psychophysiologic assessment: To show lack of response habituation to repeatedly presented stimuli (in respiratoryperiod, electrodermal activity, vasoconstrictive peripheral pulse amplitude response); auditory overselectivity may beseen"
Polysomnography,"Polysomnography may facilitate the diagnosis of treatable comorbid disorders. Most children with ASD have sleepdisturbances, including early morning awakening, frequent arousals, and fragmented sleep.[142] Additionally, children withASD often display prolonged sleep onset and abnormal sleep architecture. Polysomnography may be useful not only inidentifying sleep disorders, but also in demonstrating seizure discharges."
Genetic Testing,"Practice guidelines from the American Academy of Neurology and the Child Neurology Society recommend genetic testing (eg, with high-resolution chromosome studies and DNA analysis) for fragile X in children with ASD who meet any of the following criteria:[3] The child has an intellectual disability Intellectual disability cannot be excluded There is a family history of fragile X or undiagnosed intellectual disability Dysmorphic features are present"
MRI,"Magnetic resonance imaging (MRI) studies in patients with ASD yield inconsistent results. However, typical findings includeenlargement of the total brain, the total brain tissue, and the lateral and fourth ventricles, along with reductions in the size ofthe midbrain, the medulla oblongata, the cerebellar hemispheres, and vermal lobules VI and VII.[143, 144] Although vermalhypoplasia is found in some individuals with ASD, vermal hyperplasia is identified in others.[145]The volume of the gray matter is bilaterally decreased in the amygdala, the precuneus, and the hippocampus of people withASD. Adolescents with ASD have shown greater decreases in the volume of the gray matter of the right precuneus thanadults. The volume of the gray matter in the middle-inferior frontal gyrus has been found to be slightly increased in peoplewith ASD.[146]Imaging studies in patients with ASD who exhibit head banging may show enlargement of the diploic space in the parietaland occipital bones, with loss of gray matter adjacent to the bony changes. These findings resemble those of posttraumaticencephalopathy in athletes in contact sports (eg, football, hockey) and professional boxers (dementia pugilistica).In one study, MRI performed during the presentation of a bedtime story during natural sleep in children aged 12-48 monthsprovided evidence of atypical hemispheric lateralization for language in toddlers who develop ASD.[147] Study subjects whodeveloped ASD failed to exhibit the left hemispheric response to spoken language that is typical of normally developingtoddlers and instead demonstrated abnormal right temporal cortical responses."
Diffusion tensor imaging,"Diffusion tensor imagingOn MRI studies, diffusion tensor imaging can provide information about connections among different brain regions. Childrenwith ASD demonstrated higher values for the apparent diffusion coefficient (ADC) in the whole frontal lobe, as well as thelong and short association fibers of the frontal lobe.[148] emedicine.medscape.com/article/912781-print Children with ASD and their healthy siblings demonstrate significant reductions in fractional anisotropy (FA) in association,commissural, and projection tracts, in contrast to control groups.[149, 150] Alterations in FA in the white matter of the frontal,parietal, and temporal lobes suggest an inherited trait characteristic of a vulnerability to develop ASD."
Computed tomography,"Computed tomographyResults of computed tomography (CT) studies of the head are inconsistent in patients with ASD. However, they may revealdeficits, including enlargement of the ventricles, hydrocephalus, parenchymal lesions, and reduction in size of the caudatenucleus."
Positron emission tomography scanning,"Positron emission tomography scanningPositron emission tomography (PET) scanning reveals multiple deficits, but no finding characterizes all people with ASD,and the results vary with each individual.[37, 151]On 18-fluoro-2-deoxyglucose (FDG) PET scans, the anterior rectal gyrus is larger on the left than the right in some patients,a finding opposite to the asymmetry seen in typical individuals. Some individuals also exhibit an increased glucosemetabolic rate in the right posterior calcarine cortex and a decreased glucose metabolic rate in the left posterior putamenand the left medial thalamus.[152]Decreased dopaminergic neurotransmission occurs in the anterior medial prefrontal cortex of children with ASD.[153] The dopamine transporter has been reported to be increased in the orbital frontal cortex of adults with ASD and decreasedin the striatum of children with ASD.[153]Decreased serotonin receptors were observed in the thalami of people with ASD and in the cortices of the parents ofchildren with ASD.[153]Increased metabotropic glutamate receptor type 5 (mGluR5) was demonstrated in the postcentral gyrus and the cerebellumof men with ASD in contrast to age- and sex-matched healthy controls without ASD.[154]See PET Scanning in Autism Spectrum Disorders for further information."
SPECT (single-photon emission CT) scanning,"Chiron and colleagues found that the normal asymmetry of regional cerebral blood flow (ie, higher in the left hemisphere in right-handed individuals) was lacking in some people with ASD. Tests of regional cerebral blood flow with xenon-133 (133 Xe) revealed left-hemispheric dysfunction, especially in the cortical areas devoted to language and handedness.[155] Regional cerebral blood flow assessed with technetium-99m (99m Tc) labeled to hexamethylpropyleneamine oxide (HMPAO), a lipophilic substance, in children with ASD demonstrates variable anomalies, including reductions in the vermis, the cerebellar hemispheres, the thalami, the basal ganglia, and the parietal and temporal lobes. These findings suggest that no single abnormality characterizes all individuals with ASD."
Electroencephalography,"Electroencephalography (EEG) is useful for ruling out seizure disorder (present in a third of children with ASD), acquired aphasia with convulsive disorder (Landau-Kleffner syndrome), biotin-responsive infantile encephalopathy, and related conditions. The American Academy of Neurology and the Child Neurology Society found inadequate evidence to recommend an electroencephalogram (EEG) in all individuals with ASD.[3] Consultation with an electroencephalographer may help to determine appropriate procedures for individual cases. A single normal EEG does not rule out a paroxysmal abnormality, such as a seizure disorder. When a routine EEG does not reveal unequivocal evidence of a seizure disorder in a patient who may have one (eg, partial seizures with complex symptomatology), specialized procedures may help to clarify the diagnosis. Measurements of electroencephalographic activity after sleep deprivation and after stimulation with light, noise, and tactile sensations using nasopharyngeal leads, as well as the use of video monitoring simultaneously with electroencephalography, may be helpful in such cases. Neurologic consultation can also be beneficial. Indications for performing a sleep-deprived EEG with appropriate sampling of slow-wave sleep in patients with ASD are clinical seizures (or suspicion of subclinical seizures) and clinically significant loss of social and communicative function, especially in toddlers and preschoolers.[3] Admission to a specialized unit for simultaneous 24-hour video monitoring of electroencephalography and movement of the patient for a few days of assessment may facilitate the establishment of or the exclusion"
Approach Considerations,"Approach ConsiderationsSeveral instruments have been developed to diagnose ASD. Administering these tools in a reliable and valid mannerrequires extensive training and experience. Therefore, unless they have considerable experience with children with ASD andunderstand the concepts implicit in the diagnostic criteria and rating scales, pediatricians and other clinicians are advised torefer patients with possible ASD[1] to experienced clinicians for definitive diagnostic evaluations.Experienced clinicians are able to identify particular deficits in children with ASD and institute effective treatments.Identification of the key dimensions characteristic of ASD may be a more accurate means of distinguishing subtypes of thisdisorder.[141]The utilization of broader criteria for ASD will likely result in innovations in the identification of affected children. There willalso likely be further developments in the institution of interventions for this disorder.[32]"
