,Question,Answer,Source
27,What is the role of neural anomalies in the pathophysiology of autism spectrum disorder (ASD)?,"In patients with autism, neuroanatomic and neuroimaging studies reveal abnormalities of cellular configurations in several regions of the brain, including the frontal and temporal lobes and the cerebellum. Enlargements of the amygdala and the hippocampus are common in childhood. Markedly more neurons are present in select divisions of the prefrontal cortex of autopsy specimens of some children with ASD, compared with those without ASD. [27]. Magnetic resonance imaging (MRI) studies have suggested evidence for differences in neuroanatomy and connectivity in people with ASD compared with normal controls. Specifically, these studies have found reduced or atypical connectivity in frontal brain regions, as well as thinning of the corpus callosum in children and adults with ASD and related conditions. In a study that included 17 adults with high-functioning ASD and 17 age- and IQ-matched control subjects, functional magnetic resonance imaging (fMRI) of the brain that showed neural representations of social interactions was able to accurately identify individuals with ASD. Scans were performed as study subjects thought about a set of social interaction verbs from both an action and a recipient perspective. [28, 29]. Importantly, some of the regional differences in neuroanatomy correlate significantly with the severity of specific autistic symptoms. [30, 31] For example, social and language deficits of people with ASD likely are related to dysfunction of the frontal and temporal lobes. [32]. In a study of postmortem brain tissue from 11 children with ASD and 11 unaffected controls, researchers found focal disruption of cortical laminar architecture in the cortexes of 10 of the children with ASD and 1 of the controls, suggesting that brain irregularities in ASD may have prenatal origins. The patches of abnormal neurons were found in the frontal and temporal lobes, regions involved in social, emotional, communication, and language functions. Since the changes were in the form of patches, the researchers believe that early treatment could rewire the brain and improve ASD symptoms. [33, 34]. On MRI scans, the brains of children with ASD demonstrate greater myelination in bilateral medial frontal cortices and less myelination in the left temporoparietal junction. [35] Similarly, region-specific differences in the concentrations of gray matter, made up of neuronal cell bodies, dendrites, unmyelinated axons and glial cells, are also found in the brains of people with autism",medscape
28,What is the role of gamma-amino butyric acid (GABA) in the pathophysiology of autism spectrum disorder (ASD)?,"Increased risk of developmental delay and ASD is associated with prematurity. Reductions in cerebral GABA likely contribute to the sensorimotor and behavioral anomalies of individuals with ASD. [37, 38, 39] Reductions in sensorimotor GABA were observed by magnetic resonance spectroscopy (MRS) in participants with ASD in contrast to matched controls without ASD. [37, 38] Behavioral measures of inhibition correlated with the reductions in sensorimotor GABA concentrations. [37, 38] By contrast, GABA concentrations were similar in a different cohort of boys with ASD and typical boys. [37, 40] In the boys with ASD the ratio of GABA/creatine on MRS was associated with symptoms of ASD. [37, 41]. Postmortem specimens of the brains of people with ASD demonstrated reductions for gamma-aminobutyric acid–B (GABAB) receptors in the cingulate cortex, a key region for the evaluation of social relationships, emotions, and cognition, and in the fusiform gyrus, a crucial region to evaluate faces and facial expressions. [42] These findings provide the basis for further investigation of autism and other pervasive developmental disorders.",medscape
29,What is the role of glutathione (GSH) in the pathophysiology of autism spectrum disorder (ASD)?,"As the main brain antioxidant glutathione (GSH) may play a role in the development of ASD. ASD is hypothesized to be caused by oxidative stress. MRS demonatrated reduced GSH, Cr, and myoinositol (MI) in the doral anterior cingulate cortex (dACC) of participants with ASD in contrast to healhty participants without dACC.",medscape
30,What is the role of N-acetylaspartate (NAA) in the pathophysiology of autism spectrum disorder (ASD)?,"Diminished neuronal activity indicated by reductions of NAA in frontal, parietal, and temporal lobes, amygdala, hippocampus, and thalamus of children with ASD was observed on MRS. [37, 44] MRS also showed diminished concentrations of creatine (Cr) and phosphocreatine (PCr) in the cortex and the white matter of people with ASD, suggesting reduced cellular oxidative metabolism. [45, 37] Diminished neuronal metabolsm in the anterior white matter of boys with ASD in contrast to age-matched controls was indicated by the reduced NAA/Cr ratios on MRS.",medscape
31,What is the role of metabolic anomalies in the pathophysiology of autism spectrum disorder (ASD)?,"In animal studies, dysfunction of serotonin and the neuropeptides oxytocin and vasopressin has been associated with abnormalities in affiliative behaviors. Neurophysiologic dysfunction involving one or more of these substances may also be present in humans with ASD. Elevations of blood serotonin levels occur in approximately one third of individuals with ASD and are also reported in the parents and siblings of patients. Functional anomalies in other neurotransmitters (eg, acetylcholine, glutamate) have also been identified in some people with ASD. [32, 47]. Serum biotinidase is reduced in some people with ASD. This enzyme is required for the use and recycling of the B vitamin biotin. Deficiency of biotin has been linked with behavioral disorders. Immunologic studies have identified abnormalities such as decreased plasma concentrations of the C4B complement protein. Such abnormalities may be the source of the increased susceptibility to infection seen in some people with ASD. Diet is a controversial aspect of ASD. The greatest attention has been given to gluten- and casein-free diets; anecdotal information suggests that these diets help some children with ASD. [48] Test findings suggest that low-functioning children with ASD may have impairment in the metabolism of phenolic amines. [49] Therefore, symptoms of ASD are possibly aggravated by the consumption of dairy products, chocolates, corn, sugar, apples, and bananas; however, no large population studies have confirmed this. Oxidative stress may play a role in the pathogenesis and the pathophysiology of ASD. [50] Compared with normal children, children with ASD have decrements in the following: [50]. Plasma levels of cysteine, glutathione, and methionine. The ratio of S -adenosyl-L-methionine (SAM) to S -adenosyl-L-homocysteine (SAH). The ratio of reduced to oxidized glutathione. Some children with ASD display hyperlacticacidemia [51] as well as evidence of mitochondrial disorders [51] including carnitine deficiency. [52] These abnormalities may reflect disturbed neuronal energy metabolism.",medscape
32,What is the role of faulty parenting in the etiology of autism spectrum disorder (ASD)?,"In the 1940s, in his seminal papers that first identified ASD, the child psychiatrist Leo Kanner conjectured that ASD resulted from rejection of the infant by emotionally cold parents (""refrigerator mothers""). In the 1950s and 1960s, Bruno Bettelheim popularized this idea. Since then, careful family studies have disproved the hypothesis that the development of ASD in children is caused by faulty parenting. Sensitive clinicians communicate to parents that their parenting skills did not cause their child's ASD. Repeated communication of this fact will help to minimize the guilt often experienced by parents of children with ASD.",medscape
33,What is the role of obstetric complications in the etiology of autism spectrum disorder (ASD)?,"Many individuals with ASD and related conditions experienced untoward events in their prenatal and neonatal periods and during delivery. [13, 14, 15, 61] It is unclear whether the obstetric complications caused ASD or whether ASD and obstetric complications resulted from environmental or other problems. During the perinatal period, the factors associated with ASD risk were hypertension or diabetes in mother, threatened abortion, antepartum hemorrhage, caesarian delivery, gestational age ≤ 36 weeks, parity ≥ 4, spontaneous labor, induced labor, no labor, breech presentation, preeclampsia, and fetal distress. During the postnatal period, the factors associated with ASD risk were low birth weight, postpartum hemorrhage, male gender, and brain anomaly. [60]. In a large Danish study published in JAMA, maternal use of valproate during pregnancy was associated with a significantly increased risk for ASD in offspring. The drug is already not recommended for use in pregnant women due to the risk of congenital malformations and its possible association with low intelligence in children exposed during pregnancy. Researchers used data on all children born in Denmark between 1996 and 2006. Of the 655,615 children born in the study period, 5437 had ASD. There were 2644 children exposed to antiepileptic drugs during pregnancy, 508 of whom were exposed to valproate. Analysis showed that the children exposed to valproate had a 3-fold increased risk for ASD compared with unexposed children, even after adjustment for parental psychiatric disease and epilepsy. [62, 63]. The management of women with epilepsy who desire to bear children can be challenging. A woman with an ongoing seizure disorder requires treatment because maternal seizures can result in serious morbidity and mortality for the mother and the fetus. To stop anticonvulsant therapy when a woman with a seizure disorder becomes pregnant to avoid teratologic effects may precipitate uncontrolled seizures that may be fatal to the mother and the fetus. Therefore physicians treating women with child-bearing potential can appropriately initiate frank conversations about future pregnancies. Juvenile myoclonic epilepsy and other seizure disorders typically cause seizures throughout adulthood so pharmacotherapy throughout adulthood is a reasonable treatment plan. While valproate is an excellent agent to control a vast spectrum of seizure disorders, its use in women of child-bearing potential is fraught with danger due to the great risk of producing ASD, spina bifida, and other birth defects. A frank conversation between the physician and the woman of child-bearing potential about the risks and benefits of specific antiepileptic drugs for the mother and the fetus is indicated. Documentation of these conversations is the medical record is needed. This record may be useful in court if legal action is initiated if a child has birth defects. Exposure of the mother to selective serotonin reuptake inhibitors, particularly during the first trimester, may increase the risk that her offspring will develop ASD. [64, 65]. Severe, early-gestation maternal hypothyroxinemia is associated with an increased risk of having a child with ASD, according to a study that involved 5100 women and 4039 of their children. Severe maternal hypothyroxinemia early in gestation increased the likelihood of having a child with ASD by almost 4-fold. By age 6, children of mothers with severe hypothyroxinemia had higher autistic symptom scores on the Pervasive Developmental Problems subscale of the Child Behavior Checklist and the Social Responsiveness Scale.",medscape
34,What is the role of fetal exposure to infectious agents in the etiology of autism spectrum disorder (ASD)?,An infectious basis for some cases of ASD is suggested by the large number of children with ASD born to women who contracted rubella during pregnancy. This finding supports the hypothesis that this infection triggers a vulnerability to the development of ASD in the fetus.,medscape
35,What is the role of genetics in the etiology of autism spectrum disorder (ASD)?,"Familial factors influence the risk for ASD. The rate of ASD in children born into families that already have a child with an autism spectrum disorder is as high as 18.7%, and the risk is twice as high in children born to families with 2 or more children with an ASD. [68] Girls born to a family that has a child with an ASD have 2.8 times the risk of having such a disorder. [68]

Twin studies have demonstrated a moderate degree of genetic heritability for ASD, [69, 70, 71] with environment making a substantial contribution to the development of these conditions in the study subjects. [71]

Multiple family studies have suggested genetic components in many cases of ASD. [72, 61, 73] For example, some asymptomatic first-degree relatives of some probands with ASD have abnormalities in serotonin and other chemicals similar to the probands.

Finding genetic bases for ASD is a promising research goal. Factor analysis of datasets from the Autism Genome Project has suggested linkage of a joint attention factor with 11q23 and of a repetitive sensory-motor behavior factor with 19q13. [74]

While a third of monozygotic twins are concordant for ASD, dizygotic twins are concordant for autism at rates of 4-8%, [75] which is comparable to siblings. A focused neurogenetic evaluation of children with ASD yields a genetic disorder in two fifths of the children. [76] For example, mutations in the gene SHANK3 are associated with ASD. [77, 78]

Fragile X syndrome, a subtype of ASD, can be identified through genetic testing. [79] Antagonists to metabotropic glutamate receptors can reverse the symptoms in mouse models of fragile X syndrome. [80] Another subtype of ASD is tuberous sclerosis, a disorder with specific genetic mutations.",medscape
36,What is the role of toxins in the etiology of autism spectrum disorder (ASD)?,"Exposures to toxins, chemicals, poisons, and other substances have been hypothesized to cause ASD.

Roberts et al [83] and Samson [84] have reported an association between exposure to the organochlorine pesticides dicofol and endosulfan during the first trimester of pregnancy and the subsequent development of ASD in children. Potential mothers can wisely be advised to avoid exposure to organochlorine pesticides.

In parts of the world, exposure to specific toxins may influence local ASD rates. For example, the high incidence of ASD in areas of Japan has been hypothesized to be due to a toxic effect of certain fish. Although toxins may play a role in the development of isolated cases of ASD in Japan, they have not been proved to be generally causative of ASD there. Another possible explanation for the high ASD rates in Japan is the excellent training of Japanese clinicians; low rates elsewhere may reflect the limited abilities of clinicians to diagnose ASD.

Some studies have documented associations between ASD and air pollution. One, from North Carolina found a link between exposure to traffic-related air pollution, particularly during the third trimester, to the development of ASD in offspring. These results add to the evidence already provided by previous studies conducted in California. [85]

Another study of children living in counties in Pennsylvania found that children with ASD were 1.4 to two times more likely to have been exposed to higher levels of air pollution, especially the toxins styrene and chromium, during pregnancy and the first 2 years of life than children without the disorder. [86] Cyanide, methylene chloride, methanol, and arsenic were also linked to increased risk of ASD.",medscape
37,What is the role of parental age in the etiology of autism spectrum disorder (ASD)?,"Meta-analyses of epidemiologic studies have shown that ASD risk in offspring increases when the age of either parent is 35 years or higher. [60] Sandin et al reported that, after controlling for paternal age, the adjusted relative risk for ASD was 1.52 in the offspring of mothers aged 35 years or older compared with mothers aged 25–29 years. [88] Hultman et al found that, after controlling for maternal age, offspring of men aged 50 years or older were 2.2 times more likely to have ASD than offspring of men aged 29 years or younger. ",medscape
38,What is the role of vaccines in the etiology of autism spectrum disorder (ASD)?,"Some children have developed ASD after immunizations, including inoculations for measles, mumps, and rubella. However, several population studies have demonstrated no association between childhood immunization and the development of ASD and related conditions. [90, 91, 92, 93, 94, 95]

Thompson and colleagues detected no causal association between exposure to vaccines that contain thimerosal and neuropsychological deficits at age 7–10 years. [93] In fact, in early 2010, the Lancet retracted the 1998 article by Wakefield et al that originally linked ASD with measles-mumps-rubella (MMR) vaccination, citing flaws in the study and 2 claims in it that were ""proven to be false."" [94]

Parents can permit the recommended childhood immunizations without fear of causing ASD and related conditions. Adherence to recommended immunization schedules, including immunization for measles, mumps, and rubella, is highly recommended. ",medscape
39,What are the global trends in the incidence of autism spectrum disorder (ASD)?,"Reported rates of autism spectrum disorder (ASD) have been rising in many countries over the past two decades. [96, 97]

In 2021, the CDC released data showing a record-breaking increase in rates of autism since the organization began tracking the disorder in 2000. Study authors with the CDC's Autism and Developmental Disabilities Monitoring (ADDM) Network attribute this increase to improvements in diagnosis and identification of ASD and not necessarily to an increase in incidence. The researchers found that 2.3% of 8-year-olds in communities in 11 states across the United States had an autism diagnosis in 2018 (prevalence rate of 1 in 44 children), up from 1.9% in 2016. [98]

Epidemiological studies of relatively uncommon conditions such as ASD are expensive. A suitable research strategy is the administration of multiple screenings in a population, each time identifying more likely subjects for detailed investigation.

For example, a reporting tool, such as the Autism Screening Checklist, can be distributed to all parents and guardians in a target population. ",medscape
40,What is the US prevalence of autism spectrum disorder (ASD)?,"Estimates of the prevalence of ASD suggest that as many as 400,000 individuals in the United States have ASD or a related condition.

The Autism and Developmental Disabilities Monitoring (ADDM) Network surveillance system provides estimates of the prevalence of ASD among children aged 8 years whose parents or guardians reside within 11 ADDM sites in the United States (Arizona, Arkansas, Colorado, Georgia, Maryland, Minnesota, Missouri, New Jersey, North Carolina, Tennessee, and Wisconsin). The Network's 2018 report, based on 2014 data, shows the overall prevalence of ASD among the 11 ADDM sites was 16.8 per 1,000 (one in 59) children aged 8 years. [99]

According to survey results from parents across the United States, 1 in 40 children (2.5%) has ASD, representing an estimated 1.5 million children ages 3 to 17 years [100]  an increase from 11 in 1000 in 2007. ",medscape
41,What is the global prevalence of autism spectrum disorder (ASD)?,"A global prevalence of 7.6 cases of ASD per 100 (1 in 132) was estimated on review of epidemiological studies. [102] ASD and related conditions are estimated to affect up to 10-15 people per 10,000 population worldwide. In a population-based study of all 7- to 12-year-old children (N = 55,266) in a South Korean community, Kim et al estimated that the prevalence of ASD was 2.64% [103]

Studies in Japan report much higher rates than are found in other countries. [104] Japanese investigators suggest that these findings reflect the careful evaluations performed by Japanese clinicians, which may identify cases that would be overlooked in other countries. Alternatively, ASD may be more common in Japan because of gastrointestinal and other infections transmitted through the ingestion of seafood and other aquatically derived foods that are characteristic of the Japanese diet.",medscape
42,Which patient groups have the highest prevalence of autism spectrum disorder (ASD)?,"Estimates of the prevalence of ASD vary widely by sex. Combining data from all 11 Autism and Developmental Disabilities Monitoring (ADDM) Network communities, ASD prevalence was 26.6 per 1,000 boys and 6.6 per 1,000 girls (prevalence ratio: 4.0). ASD prevalence was significantly (p< 0.01) higher among boys than among girls in all 11 ADDM sites, with male-to-female prevalence ratios ranging from 3.2 (Arizona) to 4.9 (Georgia). [99]

ASD is most common in boys who have the 46,XY karyotype (ie, the normal male karyotype). In some studies, fragile X is reported in approximately 10% males with autistic disorder.",medscape
43,What is the prognosis of autism spectrum disorder (ASD)?,"The prognosis in patients with ASD is highly correlated with their IQ. Low-functioning patients may never live independently; they typically need home or residential care for the rest of their lives. High-functioning patients may live independently, hold jobs successfully, and even marry and have children. Remission of ASD has been described in anecdotal case reports.

High-functioning individuals with ASD are similar to people with Asperger syndrome. Please refer to the Medscape Reference article Asperger Syndrome for further information and to learn more about high-functioning autism. Under the current nomenclature Asperger syndrome is a subtype of ASD.",medscape
44,What are the common comorbidities of autism spectrum disorder (ASD)?,"Gastrointestinal disorders, particularly constipation and chronic diarrhea, are more common in children with ASD. The risk of gastrointestinal disorders increases with the severity of autism symptoms. [111]  Additionally, cancer, [112]  cerebral palsy, [113]  attention-deficit/hyperactivity disorder, [113]  insomnia and other sleep disorders, [114]  and epilepsy [115] are conditions more common in ASD. Psychiatric conditions common in ASD include psychosis, [116]  depression, [117]  and anxiety disorders including specific phobias and obsessive-compulsive disorder (OCD).",medscape
45,What is included in patient education about autism spectrum disorder (ASD)?,"Because local boards of education may be ignorant about the needs of children with ASD and related conditions, pediatricians and parents should seek advice from knowledgeable sources such as the Autism Society, which maintains a Web site and offers a toll-free hotline at 1-800-3-AUTISM (1-800-238 8476), providing information and referral services to the public. Legal assistance may be necessary to influence a board of education to fund appropriate education for a child with ASD and related conditions.

People with developmental disabilities, including ASD, are vulnerable to sexual abuse, with the most severely disabled being at highest risk. Parents and caregivers need to be aware of this increased risk. Additionally, children with ASD must be trained to recognize impending sexual abuse and to develop plans of action to abort it. [121]

Almost half of a sample of more than 1000 children with ASD exhibited elopement, wandering away from home, school, and other safe environments. [122] Parents of children with ASD need to be warned that there is a fair chance that their child, without warning, may walk away from home or school to go to an environment where there is a risk for potential danger. Additionally, parents need to be advised to request that teachers and other caregivers vigilantly watch the child to prevent elopement.",medscape
46,What steps should be taken when obtaining informed consent from patients with autism spectrum disorder (ASD)?,"People with ASD are identified as a highly vulnerable population because of the presence of cognitive, social, and mental impairments. Regulatory agencies have expressed particular concern that the rights of children with ASD and related conditions be carefully protected.

Some have suggested that parents may not be impartial guardians and that third parties be used instead of parents to provide informed consent for clinical and research purposes. However, parents are generally excellent advocates seeking the best for their children. Nevertheless, clinicians must take particular care to ensure that informed consent is obtained in order to prevent misinterpretations and eventual medicolegal problems.

Except in emergencies, patients, parents, guardians, and surrogates must be aware of the diagnostic and treatment possibilities and must provide permission for possible interventions. By making a video recording of the process of explaining to the parent the recommended procedures, in addition to the signing of written release forms, the clinician establishes evidence that he/she imparted appropriate information to the correct party",medscape
47,Where can patient education resources on autism spectrum disorder (ASD) be found?,"Individuals with autism and related conditions, as well as their advocates, can benefit from the experiences of other individuals and advocates who are dealing with autism. (See the organizations and resources listed below.)

Autism Society

4340 East-West Highway, Suite 350

Bethesda, MD 20814

Phone: 1-800-328-8476

URL http://www.autism-society.org/

 

Autism Canada

140 Yonge Street, Suite 200

Toronto, Ontario

MSC 1X6

Canada

URL https://autismcanada.org/about-us/one-strong-voice/autism-society-canada/

 

The National Autistic Society

393 City Road

London EC1V 1NG

United Kingdom

Phone: +44 (0)20 7833 2299

FAX: +44 (0)20 7833 9666

Email: nas@nas.org.uk

URL: https://www.autism.org.uk

 

The National Institute of Mental Health Information Resource Center

Office of Science Policy, Planning, and Communications

6001 Executive Boulevard, Room 6200, MSC 9663

Bethesda, Maryland 20892-9663

Phone: 1 866 615 6464

Fax:     1 301 443 4279

Email: nimhinfo@nih.gov

URL: http://www.nimh.nih.gov/health/topics/autism-spectrum-disorders-pervasive-developmental-disorders/index.shtml

 

Autism Research Institute

Phone: 833 281 7165

email info@autism.org

URL: https://www.autism.com/

 

Autism Speaks

1 East 33rd Street, 4th Floor

New York, NY 10016

USA

Phone (646) 385-8500

Fax (212) 252 8676

URL: https://www.autismspeaks.org/",medscape
48,Which clinical history findings are characteristic of autism spectrum disorder (ASD)?,"Behavioral and developmental features that suggest ASD [1]  include the following:

Developmental regression

Absence of protodeclarative pointing

Abnormal reactions to environmental stimuli

Abnormal social interactions

Absence of symbolic play

Repetitive and stereotyped behavior",medscape
49,How common is developmental regression in autism spectrum disorder (ASD)?,"Between 13% and 48% of people with ASD have apparently normal development until age 15-30 months, when they lose verbal and nonverbal communication skills. These individuals may have an innate vulnerability to develop ASD. Although regression may be precipitated by an environmental event (eg, immune or toxic exposures), it may result from a combinatiion of epigenetic vulnerabilities and environmental events.",medscape
50,What is the role of protodeclarative pointing in predicting a later diagnosis of autism spectrum disorder (ASD)?,"Protodeclarative pointing is the use of the index finger to indicate an item of interest to another person. Toddlers typically learn to use protodeclarative pointing to communicate their concern for an object to others. The absence of this behavior is predictive of a later diagnosis of ASD. [123, 124]

The presence of protodeclarative pointing can be assessed by interview of the parent or caregiver. Screening questions include ""Does your child ever use his or her index finger to point, to indicate interest in something?"" A negative response to this question suggests the need for a specialized assessment for possible ASD.",medscape
51,Which responses to environmental stimuli are characteristic of autism spectrum disorder (ASD)?,"In contrast to toddlers with delayed or normal development, toddlers with ASD are much more interested in geometric patterns. Toddlers who prefer dynamic geometric patterns to participating in physical activities such as dance merit referral for evaluation for possible ASD.

Parents of children with ASD report unusual responses to environmental stimuli, including excessive reaction or an unexpected lack of reaction to sensory input. Certain sounds (eg, vacuum cleaners or motorcycles) may elicit incessant screaming. Playing a radio, stereo, or television at a loud level may appear to produce hyperacusis, a condition in which ordinary sounds produce excessive auditory stimulation of a painful magnitude. Sometimes parents must rearrange the family routine so that the child is absent during noisy housekeeping activities.

Children with ASD may also display exaggerated responses or rage to everyday sensory stimuli, such as bright lights or touching.",medscape
52,Which types of social interactions are characteristic of autism spectrum disorder (ASD)?,"Individuals with ASD may display a lack of appropriate interaction with family members. [125] Moreover, difficulties in social interactions are common. Children may have problems making friends and understanding the social intentions of other children and may instead show attachments to objects not normally considered child oriented. Although children with ASD may want to have friendships with other children, their actions may actually drive away these potential companions. They may also exhibit inappropriate friendliness and lack of awareness of personal space.

Isolation likely increases in adolescence and young adulthood. Interviews with a representative sample of 725 youths with ASD (mean age 19.2 y) determined that the majority had not in the preceding year gotten together with friends or even spoken with a friend on the telephone. ",medscape
53,Which pain responses are characteristic of autism spectrum disorder (ASD)?,"An absence of typical responses to pain and physical injury may also be noted. Rather than crying and running to a parent when cut or bruised, the child may display no change in behavior. Sometimes, parents do not realize that a child with autism sepctrum disorder is hurt until they observe the lesion. Parents often report that they need to ask the child if something is wrong when the child's mood changes, and may need to examine the child's body to detect injury.",medscape
54,Which speech development findings are characteristic of autism spectrum disorder (ASD)?,"Speech abnormalities are common. They take the form of language delays and deviations. Pronominal reversals are common, including saying ""you"" instead of ""I."" Some speech habits, such as repeating words and sentences after someone else says them, using language only the child understands, or saying things whose meaning is not clear, may occur not only in ASD but in other disorders as well.",medscape
55,Which types of play are characteristic of autism spectrum disorder (ASD)?,"Baron-Cohen and colleagues demonstrated that the absence of symbolic play in infants and toddlers is highly predictive of a later diagnosis of ASD. [123, 124, 1] Therefore, screening for the presence of symbolic play is a key component of the routine assessment of well babies. The absence of normal pretend play indicates the need for referral for specialized developmental assessment for autism spectrum disorder and other developmental disabilities.

Odd play may take the form of interest in parts of objects instead of functional uses of the whole object. For example, a child with ASD may enjoy repeatedly spinning a wheel of a car instead of moving the entire car on the ground in a functional manner. [125]

Observation of the signs of ASD in young children [127] is an indication for referral for specialized diagnostic and therapeutic interventions.

Children with ASD may enjoy repeatedly lining up objects or dropping objects from a particular height. They may also be fascinated with items that are not typical toys, such as pieces of string, and may enjoy hoarding rubber bands, paper clips, and pieces of paper. In addition, children with ASD may spend hours watching traffic lights, fans, and running water. Some parents report that they must lock the bathroom door to prevent the child from flushing the toilet all day long.",medscape
56,How do children with autism spectrum disorder (ASD) react to febrile illness?,"Children with ASD may be particularly vulnerable to develop infections and febrile illnesses due to immunologic problems. By seeking pediatric intervention promptly at the onset of infections and febrile illnesses, parents may be able to abort sequelae of chronic infections.

During a febrile illness, children with ASD may show a decrease in behavioral abnormalities that plague the parents when the child is well (eg, self-injurious behaviors, aggression toward others, property destruction, temper tantrums, hyperactivity).

This inhibition of negative behaviors may occur with various febrile illnesses, including ear infections, upper respiratory tract infections, and childhood illnesses. (A parent may say, ""When he is suddenly an angel, I know that he has an ear infection."") The recovery of the child from the febrile illness may be accompanied by an abrupt return of the child's usual problematic behaviors.",medscape
57,What is the Autism Screening Checklist?,"Having parents fill out the Autism Screening Checklist can identify children who merit further assessment for possible ASD.
The significance of answers to individual Autism Screening Checklist items is as follows:

Item 1- A ""yes"" occurs in healthy children and children with some pervasive developmental disorders; a ""no"" occurs in children with ASD and other developmental disorders

Item 2 - A ""yes"" occurs in healthy children, not children with ASD

Item 3 - A ""yes"" occurs in healthy children and children with Asperger syndrome (ie, high-functioning ASD); children with ASD may elicit a “yes” or a ""no""; some children with ASD never speak; some children with ASD may develop speech normally and then experience a regression with the loss of speech

Item 4 - A ""yes"" occurs in healthy children and children with Asperger syndrome (ie, high-functioning ASD); a ""no"" occurs in children with developmental disorders; children with ASD may elicit a ""yes"" or a ""no""

Items 5-10 - Scores of ""yes"" occur in some children with ASD.

Item 11 – A ""yes"" occurs in healthy children; a ""no"" occurs in some children with ASD.

Items 12, 13 - Scores of ""yes"" occur in some children with ASD.

Items 14-19 - Scores of ""yes"" occur in children with schizophrenia and other disorders, not in children with ASD.

The higher the total score for items 5-10, 12, and 13 on the Autism screening checklist, the more likely that an ASD is present.",medscape
58,How are children screened for autism spectrum disorder (ASD)?,"Screening well babies for signs predictive of autism spectrum disorder is important. [1] Baron-Cohen and colleagues observed that abnormalities in pretend play, gaze monitoring, and protodeclarative pointing noted in toddlers during well-child visits in the United Kingdom were useful in predicting the later diagnosis of ASD. [123, 124]

Baron-Cohen and colleagues developed a set of valid and reliable tools to screen for ASD over the lifespan, [128] including the Checklist for Autism in Toddlers (CHAT) and its revisions, the Modified CHAT (MCHAT) and the Quantitative CHAT (QCHAT), for newborns and toddlers, [123, 124, 129] as well as the Autism-Spectrum Quotient (AQ), for children, [130] adolescents, [131] and adults. [132] The possible cultural limitations of these tools in different ethnic groups in various geographic regions remain to be demonstrated.

Pretend play

In screening for the presence of symbolic play, other make-believe play may be substituted based on cultural relevance. The child should respond appropriately to a pretend activity compared with most other children of the same culture.

Gaze monitoring

The assessment of normal gaze monitoring, suggested by Baron-Cohen and colleagues, consists of the following steps: (1) the clinician calls the child's name, points to a toy on the other side of the room, and says, ""Oh look! There's a [name a toy]!""; [123, 124] (2) if the child looks across the room to see the item indicated by the clinician, then a joint attention is established, indicating normal gaze monitoring.

Protodeclarative pointing

Baron-Cohen and colleagues established the following protocol to assess for the presence of protodeclarative pointing:

Say to the child, “Where's the light?” or “Show me the light”

A normal response is for the child to point with his or her index finger at the light while looking up at the clinician's face [123, 124]

If the child does not respond appropriately, the procedure may be repeated with a teddy bear or any other unreachable object

Executive function

Deficits in executive function have been generally observed in people with ASD.",medscape
59,Which body movement findings are characteristic of autism spectrum disorder (ASD)?,"Clumsiness, awkward walk, and abnormal motor movements are characteristic features of ASD. Manifestations of attention deficit hyperactivity disorder that are very often associated with ASD include hyperkinesis and stereotypies.

Common abnormal motor movements in children with ASD include hand flapping, in which the upper extremity is rapidly raised and lowered with a flaccid wrist so that the hand flaps like a flag in the wind. Hand flapping typically occurs when the child is happy or excited. It may occur in combination with movement of the entire body, such as bouncing (ie, jumping up and down) and rotating (ie, constantly spinning around a vertical axis in the midline of the body).

Children with ASD also often display motor tics and are unable to remain still. Because children with ASD are often intellectually impaired and nonverbal, expressing subjective experiences associated with the movement is often impossible for them. Thus, the diagnosis of akathisia cannot be applied in these cases, because this diagnosis requires the verbalization of a sensation of inner restlessness and an urge to move.",medscape
60,Which physical findings of the head and hands are characteristic of autism spectrum disorder (ASD)?,"Aberrant palmar creases and other dermatoglyphic anomalies are more common in children with ASD.

Although the head circumference of children with ASD may be small at birth, many children with autism spectrum disorder experience a rapid increase in the rate of growth from age 6 months to 2 years. [4] The head circumference is increased in a subgroup of approximately one fifth of the population of children with ASD without known comorbid conditions. [134] Increased head circumference is more common in boys and is associated with poor adaptive behavior. The head circumference may return to normal in adolescence.",medscape
61,How are movements assessed in the physical exam for autism spectrum disorder (ASD)?,"Patients with ASD merit a careful assessment of movements. The caregiver and clinicians may be asked whether the patient shows any unusual motions in the mouth, face, hands, or feet and, if so, may be asked to describe them and how they bother the patient.

The patient may be asked to sit on the chair with legs slightly apart, feet flat on the floor, and hands hanging supported between the legs or hanging over the knees. The patient may be asked to open his or her mouth and then twice to stick out the tongue.

If the subject does not perform the requested action, the examiner then repeatedly performs the actions in the direct view of the subject to demonstrate the desired actions.

The patient may be asked to sit, stand, and lie on a sheet on the floor for 2 minutes in each position and to remain motionless while in each posture. In each position, the patient is asked, ""Do you have a sensation of inner restlessness?"" and ""Do you have the urge to move?"" These questions require an appropriate developmental level for a useful response. Therefore, most children with ASD cannot respond appropriately.

In the absence of a clear verbal response, the subjective items are not rated. Nevertheless, the objective behavior of the child can be observed and rated.",medscape
