,Question,Answer,Source
22,When does autism spectrum disorder (ASD) typically present?,"Neural anomaliesIn patients with autism, neuroanatomic and neuroimaging studies reveal abnormalities of cellular configurations in severalregions of the brain, including the frontal and temporal lobes and the cerebellum. Enlargements of the amygdala and thehippocampus are common in childhood. Markedly more neurons are present in select divisions of the prefrontal cortex ofautopsy specimens of some children with ASD, compared with those without ASD.[27]Magnetic resonance imaging (MRI) studies have suggested evidence for differences in neuroanatomy and connectivity inpeople with ASD compared with normal controls. Specifically, these studies have found reduced or atypical connectivity infrontal brain regions, as well as thinning of the corpus callosum in children and adults with ASD and related conditions.In a study that included 17 adults with high-functioning ASD and 17 age- and IQ-matched control subjects, functionalmagnetic resonance imaging (fMRI) of the brain that showed neural representations of social interactions was able toaccurately identify individuals with ASD. Scans were performed as study subjects thought about a set of social interactionverbs from both an action and a recipient perspective.[28, 29]Importantly, some of the regional differences in neuroanatomy correlate significantly with the severity of specific autisticsymptoms.[30, 31] For example, social and language deficits of people with ASD likely are related to dysfunction of thefrontal and temporal lobes.[32]In a study of postmortem brain tissue from 11 children with ASD and 11 unaffected controls, researchers found focaldisruption of cortical laminar architecture in the cortexes of 10 of the children with ASD and 1 of the controls, suggesting thatbrain irregularities in ASD may have prenatal origins. The patches of abnormal neurons were found in the frontal andtemporal lobes, regions involved in social, emotional, communication, and language functions. Since the changes were inthe form of patches, the researchers believe that early treatment could rewire the brain and improve ASD symptoms.[33, 34]On MRI scans, the brains of children with ASD demonstrate greater myelination in bilateral medial frontal cortices and lessmyelination in the left temporoparietal junction.[35] Similarly, region-specific differences in the concentrations of gray matter,made up of neuronal cell bodies, dendrites, unmyelinated axons and glial cells, are also found in the brains of people withautism.[36]",medscape
23,What are motion anomalies in children with autism spectrum disorder (ASD)?,"Gamma-amino butyric acid (GABA)Increased risk of developmental delay and ASD is associated with prematurity. Reductions in cerebral GABA likelycontribute to the sensorimotor and behavioral anomalies of individuals with ASD.[37, 38, 39] Reductions in sensorimotorGABA were observed by magnetic resonance spectroscopy (MRS) in participants with ASD in contrast to matched controlswithout ASD.[37, 38] Behavioral measures of inhibition correlated with the reductions in sensorimotor GABA concentrations.[37, 38] By contrast, GABA concentrations were similar in a different cohort of boys with ASD and typical boys.[37, 40] In theboys with ASD the ratio of GABA/creatine on MRS was associated with symptoms of ASD.[37, 41]Postmortem specimens of the brains of people with ASD demonstrated reductions for gamma-aminobutyric acid–B(GABAB) receptors in the cingulate cortex, a key region for the evaluation of social relationships, emotions, and cognition,and in the fusiform gyrus, a crucial region to evaluate faces and facial expressions.[42] These findings provide the basis forfurther investigation of autism and other pervasive developmental disorders.",medscape
24,What causes autism spectrum disorder (ASD)?,"Glutathione (GSH)As the main brain antioxidant glutathione (GSH) may play a role in the development of ASD. ASD is hypothesized to becaused by oxidative stress. MRS demonatrated reduced GSH, Cr, and myoinositol (MI) in the doral anterior cingulate cortex(dACC) of participants with ASD in contrast to healhty participants without dACC.[37, 43]",medscape
25,How is autism spectrum disorder (ASD) diagnosed?,"N-acetylaspartate (NAA)Diminished neuronal activity indicated by reductions of NAA in frontal, parietal, and temporal lobes, amygdala,hippocampus, and thalamus of children with ASD was observed on MRS.[37, 44] MRS also showed diminishedconcentrations of creatine (Cr) and phosphocreatine (PCr) in the cortex and the white matter of people with ASD, suggestingreduced cellular oxidative metabolism.[45, 37] Diminished neuronal metabolsm in the anterior white matter of boys with ASDin contrast to age-matched controls was indicated by the reduced NAA/Cr ratios on MRS.[46, 37]",medscape
26,How is autism spectrum disorder (ASD) treated?,"Metabolic anomaliesIn animal studies, dysfunction of serotonin and the neuropeptides oxytocin and vasopressin has been associated withabnormalities in affiliative behaviors. Neurophysiologic dysfunction involving one or more of these substances may also bepresent in humans with ASD.Elevations of blood serotonin levels occur in approximately one third of individuals with ASD and are also reported in theparents and siblings of patients. Functional anomalies in other neurotransmitters (eg, acetylcholine, glutamate) have also emedicine.medscape.com/article/912781-print been identified in some people with ASD.[32, 47]Serum biotinidase is reduced in some people with ASD. This enzyme is required for the use and recycling of the B vitaminbiotin. Deficiency of biotin has been linked with behavioral disorders.Immunologic studies have identified abnormalities such as decreased plasma concentrations of the C4B complementprotein. Such abnormalities may be the source of the increased susceptibility to infection seen in some people with ASD.Diet is a controversial aspect of ASD. The greatest attention has been given to gluten- and casein-free diets; anecdotalinformation suggests that these diets help some children with ASD.[48] Test findings suggest that low-functioning childrenwith ASD may have impairment in the metabolism of phenolic amines.[49] Therefore, symptoms of ASD are possiblyaggravated by the consumption of dairy products, chocolates, corn, sugar, apples, and bananas; however, no largepopulation studies have confirmed this.Oxidative stress may play a role in the pathogenesis and the pathophysiology of ASD.[50] Compared with normal children,children with ASD have decrements in the following:[50]Plasma levels of cysteine, glutathione, and methionineThe ratio of S -adenosyl-L-methionine (SAM) to S -adenosyl-L-homocysteine (SAH)The ratio of reduced to oxidized glutathioneSome children with ASD display hyperlacticacidemia[51] as well as evidence of mitochondrial disorders[51] includingcarnitine deficiency.[52] These abnormalities may reflect disturbed neuronal energy metabolism.",medscape
27,What is the role of neural anomalies in the pathophysiology of autism spectrum disorder (ASD)?,"Mitochondrial dysfunctionSince mitochondrial function may be impaired in some individuals with ASD,[51, 53]  a lack of dietary components containingkey cofactors[54] may play a role in the pathogenesis.",medscape
28,What is the role of gamma-amino butyric acid (GABA) in the pathophysiology of autism spectrum disorder (ASD)?,A low concentration of anti-inflammatory cytokines may produce an imbalance between anti-inflammatory and pro- inflammatory cytokines to trigger inflammation in ASD.[55] Infection in pregnancy may release inflammatory cytokines crossing the placenta to result in neuronal inflammation in the fetus.[56],medscape
29,What is the role of glutathione (GSH) in the pathophysiology of autism spectrum disorder (ASD)?,"In the 1940s, in his seminal papers that first identified ASD, the child psychiatrist Leo Kanner conjectured that ASD resultedfrom rejection of the infant by emotionally cold parents (""refrigerator mothers""). In the 1950s and 1960s, Bruno Bettelheimpopularized this idea. Since then, careful family studies have disproved the hypothesis that the development of ASD inchildren is caused by faulty parenting. Sensitive clinicians communicate to parents that their parenting skills did not causetheir child's ASD. Repeated communication of this fact will help to minimize the guilt often experienced by parentsof children with ASD.The causes of ASD are unknown. Hypotheses include obstetric complications, infection, genetics, and toxic exposures.[57,58, 59] None of these, however, has been established as a definite etiology.Many factors have been associated with the risk for ASD, including maternal and paternal ages of 35 years or older,Caucasian or Asian race of mother or father, and college graduation of mother or father.[60]",medscape
30,What is the role of N-acetylaspartate (NAA) in the pathophysiology of autism spectrum disorder (ASD)?,"Many individuals with ASD and related conditions experienced untoward events in their prenatal and neonatal periods and during delivery.[13, 14, 15, 61] It is unclear whether the obstetric complications caused ASD or whether ASD and obstetric complications resulted from environmental or other problems. During the perinatal period, the factors associated with ASD risk were hypertension or diabetes in mother, threatened abortion, antepartum hemorrhage, caesarian delivery, gestational age ≤ 36 weeks, parity ≥ 4, spontaneous labor, induced labor, no labor, breech presentation, preeclampsia, and fetal distress. During the postnatal period, the factors associated with ASD risk were low birth weight, postpartum hemorrhage, male gender, and brain anomaly.[60] In a large Danish study published in JAMA, maternal use of valproate during pregnancy was associated with a significantly increased risk for ASD in offspring. The drug is already not recommended for use in pregnant women due to the risk of congenital malformations and its possible association with low intelligence in children exposed during pregnancy. Researchers used data on all children born in Denmark between 1996 and 2006. Of the 655,615 children born in the study period, 5437 had ASD. There were 2644 children exposed to antiepileptic drugs during pregnancy, 508 of whom were exposed to valproate. Analysis showed that the children exposed to valproate had a 3-fold increased risk for ASD compared with unexposed children, even after adjustment for parental psychiatric disease and epilepsy.[62, 63] The management of women with epilepsy who desire to bear children can be challenging. A woman with an ongoing seizure disorder requires treatment because maternal seizures can result in serious morbidity and mortality for the mother and the fetus. To stop anticonvulsant therapy when a woman with a seizure disorder becomes pregnant to avoid teratologic effects may precipitate uncontrolled seizures that may be fatal to the mother and the fetus. Therefore physicians treating women with child-bearing potential can appropriately initiate frank conversations about future pregnancies. Juvenile myoclonic epilepsy and other seizure disorders typically cause seizures throughout adulthood so pharmacotherapy throughout adulthood is a reasonable treatment plan. While valproate is an excellent agent to control a vast spectrum of seizure disorders, its use in women of child-bearing potential is fraught with danger due to the great risk of producing ASD, spina bifida, and other birth defects. A frank conversation between the physician and the woman of child-bearing potential about the risks and benefits of specific antiepileptic drugs for the mother and the fetus is indicated. Documentation of these conversations is the medical record is needed. This record may be useful in court if legal action is initiated if a child has birth defects.",medscape
31,What is the role of metabolic anomalies in the pathophysiology of autism spectrum disorder (ASD)?,An infectious basis for some cases of ASD is suggested by the large number of children with ASD born to women whocontracted rubella during pregnancy. This finding supports the hypothesis that this infection triggers a vulnerability to thedevelopment of ASD in the fetus.,medscape
32,What is the role of faulty parenting in the etiology of autism spectrum disorder (ASD)?,"Familial and genetic factorsFamilial factors influence the risk for ASD. The rate of ASD in children born into families that already have a child with anautism spectrum disorder is as high as 18.7%, and the risk is twice as high in children born to families with 2 or morechildren with an ASD.[68] Girls born to a family that has a child with an ASD have 2.8 times the risk of having such adisorder.[68]Twin studies have demonstrated a moderate degree of genetic heritability for ASD,[69, 70, 71] with environment making asubstantial contribution to the development of these conditions in the study subjects.[71]Multiple family studies have suggested genetic components in many cases of ASD.[72, 61, 73] For example, someasymptomatic first-degree relatives of some probands with ASD have abnormalities in serotonin and other chemicals similarto the probands.Finding genetic bases for ASD is a promising research goal. Factor analysis of datasets from the Autism Genome Projecthas suggested linkage of a joint attention factor with 11q23 and of a repetitive sensory-motor behavior factor with 19q13.[74]While a third of monozygotic twins are concordant for ASD, dizygotic twins are concordant for autism at rates of 4-8%,[75]which is comparable to siblings. A focused neurogenetic evaluation of children with ASD yields a genetic disorder in twofifths of the children.[76] For example, mutations in the gene SHANK3 are associated with ASD.[77, 78]Fragile X syndrome, a subtype of ASD, can be identified through genetic testing.[79] Antagonists to metabotropic glutamatereceptors can reverse the symptoms in mouse models of fragile X syndrome.[80] Another subtype of ASD is tuberoussclerosis, a disorder with specific genetic mutations.[81, 82]",medscape
33,What is the role of obstetric complications in the etiology of autism spectrum disorder (ASD)?,"Toxic exposureExposures to toxins, chemicals, poisons, and other substances have been hypothesized to cause ASD.Roberts et al[83] and Samson[84] have reported an association between exposure to the organochlorine pesticides dicofoland endosulfan during the first trimester of pregnancy and the subsequent development of ASD in children. Potentialmothers can wisely be advised to avoid exposure to organochlorine pesticides.In parts of the world, exposure to specific toxins may influence local ASD rates. For example, the high incidence of ASD inareas of Japan has been hypothesized to be due to a toxic effect of certain fish. Although toxins may play a role in thedevelopment of isolated cases of ASD in Japan, they have not been proved to be generally causative of ASD there. Anotherpossible explanation for the high ASD rates in Japan is the excellent training of Japanese clinicians; low rates elsewheremay reflect the limited abilities of clinicians to diagnose ASD. emedicine.medscape.com/article/912781-print Some studies have documented associations between ASD and air pollution. One, from North Carolina found a link betweenexposure to traffic-related air pollution, particularly during the third trimester, to the development of ASD in offspring. Theseresults add to the evidence already provided by previous studies conducted in California.[85]Another study of children living in counties in Pennsylvania found that children with ASD were 1.4 to two times more likely tohave been exposed to higher levels of air pollution, especially the toxins styrene and chromium, during pregnancy and thefirst 2 years of life than children without the disorder.[86] Cyanide, methylene chloride, methanol, and arsenic were alsolinked to increased risk of ASD.[87]",medscape
34,What is the role of fetal exposure to infectious agents in the etiology of autism spectrum disorder (ASD)?,"Parental ageMeta-analyses of epidemiologic studies have shown that ASD risk in offspring increases when the age of either parent is 35years or higher.[60] Sandin et al reported that, after controlling for paternal age, the adjusted relative risk for ASD was 1.52in the offspring of mothers aged 35 years or older compared with mothers aged 25–29 years.[88] Hultman et al found that,after controlling for maternal age, offspring of men aged 50 years or older were 2.2 times more likely to have ASD thanoffspring of men aged 29 years or younger.[89]",medscape
35,What is the role of genetics in the etiology of autism spectrum disorder (ASD)?,"VaccinationSome children have developed ASD after immunizations, including inoculations for measles, mumps, and rubella. However,several population studies have demonstrated no association between childhood immunization and the development of ASDand related conditions.[90, 91, 92, 93, 94, 95]Thompson and colleagues detected no causal association between exposure to vaccines that contain thimerosal andneuropsychological deficits at age 7–10 years.[93] In fact, in early 2010, the Lancet retracted the 1998 article by Wakefieldet al that originally linked ASD with measles-mumps-rubella (MMR) vaccination, citing flaws in the study and 2 claims in itthat were ""proven to be false.""[94]Parents can permit the recommended childhood immunizations without fear of causing ASD and related conditions.Adherence to recommended immunization schedules, including immunization for measles, mumps, and rubella, is highlyrecommended.[95]",medscape
36,What is the role of toxins in the etiology of autism spectrum disorder (ASD)?,"EpidemiologyReported rates of autism spectrum disorder (ASD) have been rising in many countries over the past two decades.[96, 97]In 2021, the CDC released data showing a record-breaking increase in rates of autism since the organization began trackingthe disorder in 2000. Study authors with the CDC's Autism and Developmental Disabilities Monitoring (ADDM) Networkattribute this increase to improvements in diagnosis and identification of ASD and not necessarily to an increase inincidence. The researchers found that 2.3% of 8-year-olds in communities in 11 states across the United States had anautism diagnosis in 2018 (prevalence rate of 1 in 44 children), up from 1.9% in 2016.[98]Epidemiological studies of relatively uncommon conditions such as ASD are expensive. A suitable research strategy is theadministration of multiple screenings in a population, each time identifying more likely subjects for detailed investigation.For example, a reporting tool, such as the Autism Screening Checklist, can be distributed to all parents and guardians in atarget population. See the image below. emedicine.medscape.com/article/912781-print The significance of answers to individual Autism Screening Checklist items is as follows: Item 1- A ""yes"" occurs in healthychildren and children with some pervasive developmental disorders; a ""no"" occurs in children with autism, Rett syndrome,and other developmental disorders. Item 2 - A ""yes"" occurs in healthy children, not children with autism. Item 3 - A ""yes""occurs in healthy children and children with Asperger syndrome (ie, high-functioning autism); a ""no"" occurs in children withRett syndrome; children with autism may elicit a ""yes"" or a ""no""; some children with autism never speak; some childrenwith autism may develop speech normally and then experience a regression with the loss of speech. Item 4 - A ""yes""occurs in healthy children and children with Asperger syndrome and some other pervasive developmental disorders; a""no"" occurs in children with developmental disorders; children with autism may elicit a ""yes"" or a ""no."" Items 5-10 - Scoresof ""yes"" occur in some children with autism and in children with other disorders. Item 1 1 – A ""yes"" occurs in healthychildren; a ""no"" occurs in some children with autism and in children with other disorders. Items 12, 13 - Scores of ""yes""occur in some children with autism and in children with other disorders. Items 14-19 - Scores of ""yes"" occur in childrenwith schizophrenia and other disorders, not in children with autism, Asperger syndrome, or other autism spectrumdisorders. The higher the total score for items 5-10, 12, and 13 on the Autism Screening Checklist, the more likely thepresence of an autism spectrum disorder .The checklist identifies those children with characteristics of an ASD and differentiates them from children with child-onsetschizophrenia. (See History).",medscape
37,What is the role of parental age in the etiology of autism spectrum disorder (ASD)?,"Occurrence in the United StatesEstimates of the prevalence of ASD suggest that as many as 400,000 individuals in the United States have ASD or a relatedcondition.The Autism and Developmental Disabilities Monitoring (ADDM) Network surveillance system provides estimates ofthe prevalence of ASD among children aged 8 years whose parents or guardians reside within 11 ADDM sites in the UnitedStates (Arizona, Arkansas, Colorado, Georgia, Maryland, Minnesota, Missouri, New Jersey, North Carolina, Tennessee, andWisconsin). The Network's 2018 report, based on 2014 data, shows the overall prevalence of ASD amongthe 11 ADDM sites was 16.8 per 1,000 (one in 59) children aged 8 years.[99]According to survey results from parents across the United States, 1 in 40 children (2.5%) has ASD, representing anestimated 1.5 million children ages 3 to 17 years[100]  an increase from 11 in 1000 in 2007.[101]",medscape
38,What is the role of vaccines in the etiology of autism spectrum disorder (ASD)?,"International occurrenceA global prevalence of 7.6 cases of ASD per 100 (1 in 132) was estimated on review of epidemiological studies.[102] ASDand related conditions are estimated to affect up to 10-15 people per 10,000 population worldwide. In a population-basedstudy of all 7- to 12-year-old children (N = 55,266) in a South Korean community, Kim et al estimated that the prevalence ofASD was 2.64%[103]Studies in Japan report much higher rates than are found in other countries.[104] Japanese investigators suggest that thesefindings reflect the careful evaluations performed by Japanese clinicians, which may identify cases that would be overlookedin other countries. Alternatively, ASD may be more common in Japan because of gastrointestinal and other infectionstransmitted through the ingestion of seafood and other aquatically derived foods that are characteristic of the Japanese diet. emedicine.medscape.com/article/912781-print",medscape
39,What are the global trends in the incidence of autism spectrum disorder (ASD)?,"Sex-related demographicsEstimates of the prevalence of ASD vary widely by sex. Combining data from all 11 Autism and Developmental DisabilitiesMonitoring (ADDM) Network communities, ASD prevalence was 26.6 per 1,000 boys and 6.6 per 1,000 girls (prevalenceratio: 4.0). ASD prevalence was significantly (p< 0.01) higher among boys than among girls in all 11 ADDM sites, with male-to-female prevalence ratios ranging from 3.2 (Arizona) to 4.9 (Georgia).[99]ASD is most common in boys who have the 46,XY karyotype (ie, the normal male karyotype). In some studies, fragile X isreported in approximately 10% males with autistic disorder.[105, 106, 107, 108, 109, 110]",medscape
40,What is the US prevalence of autism spectrum disorder (ASD)?,"PrognosisThe prognosis in patients with ASD is highly correlated with their IQ. Low-functioning patients may never live independently;they typically need home or residential care for the rest of their lives. High-functioning patients may live independently, holdjobs successfully, and even marry and have children. Remission of ASD has been described in anecdotal case reports.High-functioning individuals with ASD are similar to people with Asperger syndrome. Please refer to the MedscapeReference article Asperger Syndrome for further information and to learn more about high-functioning autism. Under thecurrent nomenclature Asperger syndrome is a subtype of ASD.",medscape
41,What is the global prevalence of autism spectrum disorder (ASD)?,"Comorbid disordersGastrointestinal disorders, particularly constipation and chronic diarrhea, are more common in children with ASD. The risk ofgastrointestinal disorders increases with the severity of autism symptoms.[111]  Additionally, cancer,[112]  cerebral palsy,[113]  attention-deficit/hyperactivity disorder,[113]  insomnia and other sleep disorders,[114]  and epilepsy[115] are conditionsmore common in ASD. Psychiatric conditions common in ASD include psychosis,[116]  depression,[117]  and anxietydisorders including specific phobias and obsessive-compulsive disorder (OCD).[118, 119, 120]",medscape
42,Which patient groups have the highest prevalence of autism spectrum disorder (ASD)?,"Patient EducationBecause local boards of education may be ignorant about the needs of children with ASD and related conditions,pediatricians and parents should seek advice from knowledgeable sources such as the Autism Society, which maintains aWeb site and offers a toll-free hotline at 1-800-3-AUTISM (1-800-238 8476), providing information and referral services tothe public. Legal assistance may be necessary to influence a board of education to fund appropriate education for a childwith ASD and related conditions.People with developmental disabilities, including ASD, are vulnerable to sexual abuse, with the most severely disabled beingat highest risk. Parents and caregivers need to be aware of this increased risk. Additionally, children with ASD must betrained to recognize impending sexual abuse and to develop plans of action to abort it.[121]Almost half of a sample of more than 1000 children with ASD exhibited elopement, wandering away from home, school, andother safe environments.[122] Parents of children with ASD need to be warned that there is a fair chance that their child,without warning, may walk away from home or school to go to an environment where there is a risk for potential danger.Additionally, parents need to be advised to request that teachers and other caregivers vigilantly watch the child to preventelopement.",medscape
43,What is the prognosis of autism spectrum disorder (ASD)?,"Obtaining informed consentPeople with ASD are identified as a highly vulnerable population because of the presence of cognitive, social, and mentalimpairments. Regulatory agencies have expressed particular concern that the rights of children with ASD and relatedconditions be carefully protected.Some have suggested that parents may not be impartial guardians and that third parties be used instead of parents toprovide informed consent for clinical and research purposes. However, parents are generally excellent advocates seekingthe best for their children. Nevertheless, clinicians must take particular care to ensure that informed consent is obtained inorder to prevent misinterpretations and eventual medicolegal problems.Except in emergencies, patients, parents, guardians, and surrogates must be aware of the diagnostic and treatmentpossibilities and must provide permission for possible interventions. By making a video recording of the process ofexplaining to the parent the recommended procedures, in addition to the signing of written release forms, the clinicianestablishes evidence that he/she imparted appropriate information to the correct party.",medscape
44,What are the common comorbidities of autism spectrum disorder (ASD)?,"Individuals with autism and related conditions, as well as their advocates, can benefit from the experiences of other individuals and advocates who are dealing with autism. (See the organizations and resources listed below.) Autism Society 4340 East-West Highway, Suite 350 Bethesda, MD 20814 Phone: 1-800-328-8476 URL http://www.autism-society.org/ Autism Canada 140 Yonge Street, Suite 200 Toronto, Ontario MSC 1X6 Canada URL https://autismcanada.org/about-us one-strong-voice/autism-society-canada/ The National Autistic Society 393 City Road London EC1V 1NG United Kingdom Phone: +44 (0)20 7833 2299 FAX: +44 (0)20 7833 9666 Email: nas@nas.org.uk URL: https://www.autism.org.uk The National Institute of Mental Health Information Resource Center Office of Science Policy, Planning, and Communications 6001 Executive Boulevard, Room 6200, MSC 9663 Bethesda, Maryland 20892-9663 Phone: 1 866 615 6464 Fax: 1 301 443 4279 Email: nimhinfo@nih.gov URL: http://www.nimh.nih.gov/health/topics/autism-spectrum-disorders-pervasive-developmental-disorders/index.shtml Autism Research Institute Phone: 833 281 7165 email info@autism.org URL: https://www.autism.com/",medscape
45,What is included in patient education about autism spectrum disorder (ASD)?,Behavioral and developmental features that suggest ASD[1] include the following: Developmental regression Absence of protodeclarative pointing Abnormal reactions to environmental stimuli Abnormal social interactions Absence of symbolic play Repetitive and stereotyped behavior,medscape
46,What steps should be taken when obtaining informed consent from patients with autism spectrum disorder (ASD)?,"Between 13% and 48% of people with ASD have apparently normal development until age 15-30 months, when they loseverbal and nonverbal communication skills. These individuals may have an innate vulnerability to develop ASD. Althoughregression may be precipitated by an environmental event (eg, immune or toxic exposures), it may result from acombinatiion of epigenetic vulnerabilities and environmental events.",medscape
47,Where can patient education resources on autism spectrum disorder (ASD) be found?,"Protodeclarative pointingProtodeclarative pointing is the use of the index finger to indicate an item of interest to another person. Toddlers typicallylearn to use protodeclarative pointing to communicate their concern for an object to others. The absence of this behavior ispredictive of a later diagnosis of ASD.[123, 124]The presence of protodeclarative pointing can be assessed by interview of the parent or caregiver. Screening questionsinclude ""Does your child ever use his or her index finger to point, to indicate interest in something?"" A negative response tothis question suggests the need for a specialized assessment for possible ASD.",medscape
48,Which clinical history findings are characteristic of autism spectrum disorder (ASD)?,"Environmental stimuliIn contrast to toddlers with delayed or normal development, toddlers with ASD are much more interested in geometricpatterns. Toddlers who prefer dynamic geometric patterns to participating in physical activities such as dance merit referralfor evaluation for possible ASD.Parents of children with ASD report unusual responses to environmental stimuli, including excessive reaction or anunexpected lack of reaction to sensory input. Certain sounds (eg, vacuum cleaners or motorcycles) may elicit incessantscreaming. Playing a radio, stereo, or television at a loud level may appear to produce hyperacusis, a condition in whichordinary sounds produce excessive auditory stimulation of a painful magnitude. Sometimes parents must rearrange thefamily routine so that the child is absent during noisy housekeeping activities.Children with ASD may also display exaggerated responses or rage to everyday sensory stimuli, such as bright lights ortouching.",medscape
49,How common is developmental regression in autism spectrum disorder (ASD)?,"Social interactionsIndividuals with ASD may display a lack of appropriate interaction with family members.[125] Moreover, difficulties in socialinteractions are common. Children may have problems making friends and understanding the social intentions of other emedicine.medscape.com/article/912781-print children and may instead show attachments to objects not normally considered child oriented. Although children with ASDmay want to have friendships with other children, their actions may actually drive away these potential companions. Theymay also exhibit inappropriate friendliness and lack of awareness of personal space.Isolation likely increases in adolescence and young adulthood. Interviews with a representative sample of 725 youths withASD (mean age 19.2 y) determined that the majority had not in the preceding year gotten together with friends or evenspoken with a friend on the telephone.[126]",medscape
50,What is the role of protodeclarative pointing in predicting a later diagnosis of autism spectrum disorder (ASD)?,"An absence of typical responses to pain and physical injury may also be noted. Rather than crying and running to a parentwhen cut or bruised the child may display no change in behavior. Sometimes parents do not realize that a child with autismsepctrum disorder is hurt until they observe the lesion. Parents often report that they need to ask the child if something iswrong when the child's mood changes, and may need to examine the child's body to detect injury.",medscape
51,Which responses to environmental stimuli are characteristic of autism spectrum disorder (ASD)?,"Speech abnormalities are common. They take the form of language delays and deviations. Pronominal reversals are common including saying you"" instead of ""I."" Some speech habits such as repeating words and sentences after someone else says them using language only the child understands or saying things whose meaning is not clear may occur not only in ASD but in other disorders as well.""",medscape
52,Which types of social interactions are characteristic of autism spectrum disorder (ASD)?,"Playing a radio, stereo, or television at a loud level may appear to produce hyperacusis, a condition in whichordinary sounds produce excessive auditory stimulation of a painful magnitude. Sometimes parents must rearrange thefamily routine so that the child is absent during noisy housekeeping activities.Children with ASD may also display exaggerated responses or rage to everyday sensory stimuli, such as bright lights ortouching.Social interactionsIndividuals with ASD may display a lack of appropriate interaction with family members.[125] Moreover, difficulties in socialinteractions are common. Children may have problems making friends and understanding the social intentions of other emedicine.medscape.com/article/912781-print children and may instead show attachments to objects not normally considered child oriented. Although children with ASDmay want to have friendships with other children, their actions may actually drive away these potential companions. Theymay also exhibit inappropriate friendliness and lack of awareness of personal space.Isolation likely increases in adolescence and young adulthood. Interviews with a representative sample of 725 youths withASD (mean age 19.2 y) determined that the majority had not in the preceding year gotten together with friends or evenspoken with a friend on the telephone.[126]High pain thresholdAn absence of typical responses to pain and physical injury may also be noted. Rather than crying and running to a parentwhen cut or bruised, the child may display no change in behavior. Sometimes, parents do not realize that a child with autismsepctrum disorder is hurt until they observe the lesion. Parents often report that they need to ask the child if something iswrong when the child's mood changes, and may need to examine the child's body to detect injury.LanguageSpeech abnormalities are common. They take the form of language delays and deviations. Pronominal reversals arecommon, including saying ""you"" instead of ""I."" Some speech habits, such as repeating words and sentences after someoneelse says them, using language only the child understands, or saying things whose meaning is not clear, may occur not onlyin ASD but in other disorders as well.PlayBaron-Cohen and colleagues demonstrated that the absence of symbolic play in infants and toddlers is highly predictive of alater diagnosis of ASD.[123, 124, 1] Therefore, screening for the presence of symbolic play is a key component of theroutine assessment of well babies. The absence of normal pretend play indicates the need for referral for specializeddevelopmental assessment for autism spectrum disorder and other developmental disabilities.Odd play may take the form of interest in parts of objects instead of functional uses of the whole object. For example, a childwith ASD may enjoy repeatedly spinning a wheel of a car instead of moving the entire car on the ground in a functionalmanner.[125]Observation of the signs of ASD in young children[127] is an indication for referral for specialized diagnostic and therapeuticinterventions.Children with ASD may enjoy repeatedly lining up objects or dropping objects from a particular height. They may also befascinated with items that are not typical toys, such as pieces of string, and may enjoy hoarding rubber bands, paper clips,and pieces of paper. In addition, children with ASD may spend hours watching traffic lights, fans, and running water. Someparents report that they must lock the bathroom door to prevent the child from flushing the toilet all day long.",medscape
53,Which pain responses are characteristic of autism spectrum disorder (ASD)?,"Children with ASD may be particularly vulnerable to develop infections and febrile illnesses due to immunologic problems. By seeking pediatric intervention promptly at the onset of infections and febrile illnesses parents may be able to abort sequelae of chronic infections. During a febrile illness children with ASD may show a decrease in behavioral abnormalities that plague the parents when the child is well (eg self-injurious behaviors aggression toward others property destruction temper tantrums hyperactivity). This inhibition of negative behaviors may occur with various febrile illnesses including ear infections upper respiratory tract infections and childhood illnesses. (A parent may say When he is suddenly an angel I know that he has an ear infection."")The recovery of the child from the febrile illness may be accompanied by an abrupt return of the child's usual problematic behaviors.""",medscape
