name,state,city,county,contact info
The Arc of Maui,Hawaii,Wailuku,Maui,"The Arc of Maui
95 Mahalani St Rm 17
Wailuku, HI 96793-2521
arcinfo@arcofmaui.org
(808) 242-5781"
Autism Society Idaho,Idaho,N/A,N/A,By Website
Autism Speaks Idaho,Idaho,N/A,N/A,By Website
Autism Spectrum Disorder Foundation,Idaho,N/A,N/A,800-632-5125
Easter Seals and Autism Of Idaho,Idaho,N/A,N/A,By Website
Idaho Center On Disability & Human Development,Idaho,Moscow,Latah,208-885-6143
"The Arc, Inc.",Idaho,Boise,Ada,"The Arc, Inc.
4402 Albion Street
Boise, ID 83705
lcahill@thearcinc.org
(208) 343-5583"
Adams County Arc,Illinois,Quincy,Adams,"Adams County Arc
PO Box 3602
Quincy, IL 62305-3602
coonsbillkitty@hotmail.com
(217) 224-8328"
Association for Individual Development,Illinois,Aurora,Kane,"Association for Individual Development
309 W. New Indian Trail Court
Aurora, IL 60506
(630) 966-4000"
Autism Resources,Illinois,N/A,N/A,By Website
Autism Society of Illinois,Illinois,Lombard,DuPage,By Website
Autism Society of Illinois,Illinois,Lombard,DuPage,888-691-1270
Avenues to Independence,Illinois,Park Ridge,Cook,"Avenues to Independence
515 Busse Hwy
Park Ridge, IL 60068-3154
avenues@avenuesonline.org
(847) 292-0870"
Blue Island Citizens for DD,Illinois,Blue Island,Cook,"Blue Island Citizens for DD
2155 Broadway St
Blue Island, IL 60406-3050
blucap@aol.com
(708) 389-6578"
Gateway Services,Illinois,Princeton,Bureau,"Gateway Services
PO Box 535
Princeton, IL 61356-0535
info@gateway-services.org
(815) 875-4548"
Illinois Autism Resources,Illinois,N/A,N/A,By Website
LARC,Illinois,Lansing,Cook,"LARC
PO Box 77
Lansing, IL 60438-0077
LARCExecdir@sbcglobal.net
(708) 474-1540"
"Mothers on a Mission, Inc.",Illinois,Illinois,N/A,By Website
"New Hope Association, Inc.",Illinois,Dolton,Cook,"New Hope Association, Inc.
1624 E 154th St
Dolton, IL 60419-3002
info@newhopecenterinc.com
(708) 841-1071"
"PACT, Inc.",Illinois,Lisle,DuPage,"PACT, Inc.
750 Warrenville Rd Ste 300
Lisle, IL 60532-0902
pact@pactinc.net
(630) 960-9700"
Parents Allied with Children & Teachers for Tomorrow (PACTT),Illinois,Illinois,N/A,By Website
Park Lawn Association,Illinois,Oak Lawn,Cook,"Park Lawn Association
10833 Laporte Ave
Oak Lawn, IL 60453-5412
info@parklawn.com
(708) 425-3344"
Seguin Services,Illinois,Cicero,Cook,"Seguin Services
3100 S Central Ave
Cicero, IL 60804-3956
info@seguin.org
(708) 863-3803"
SouthSTAR Services,Illinois,Chicago Heights,Cook,"SouthSTAR Services
1005 W End Ave
Chicago Hts, IL 60411-2742
dstrick@southstarservices.org
(708) 755-8030"
Sparc,Illinois,Springfield,Sangamon,"Sparc
232 N Bruns Ln
Springfield, IL 62702-4613
(217) 793-2100"
The Arc Of Illinois,Illinois,Frankfort,Will,815-464-1832
The Arc of Iroquois County,Illinois,Watseka,Iroquois,"The Arc of Iroquois County
700 E Elm St
Watseka, IL 60970-1400
info@thearcirq.org
(815) 432-5288"
The Arc of the Quad Cities Area,Illinois,Rock Island,Rock Island,"The Arc of the Quad Cities Area
4016 9th St
Rock Island, IL 61201-6722
dixonl@arcqca.org
(309) 786-6474"
"The Arc of Winnebago, Boone & Ogle",Illinois,Rockford,Winnebago,"The Arc of Winnebago, Boone & Ogle
1222 E State St
Rockford, IL 61104-2230
jackinb@arcwbo.org
(815) 965-3455"
The Autism Place,Illinois,Normal,McLean,309-438-8130
The Autism Program of Illinois (TAP),Illinois,Springfield,Sangamon,"The Autism Program of Illinois (TAP)
5220 S. 6th Street Rd.
Suite 1700
Springfield, IL 62703
(217) 525-8332"
UPS for DownS,Illinois,Schaumburg,Cook,"UPS for DownS
1070 S Roselle Rd
Schaumburg, IL 60193-3961
info@upsfordowns.org
(847) 895-2100"
About Special Kids!,Indiana,Indiana,N/A,By Website
Achieva Resources Corporation,Indiana,Richmond,Wayne,"Achieva Resources Corporation
PO Box 1222
Richmond, IN 47375-1222
ablevins@achievaresources.org
(765) 966-0502"
"ADEC, Inc.",Indiana,Bristol,Elkhart,"ADEC, Inc.
PO Box 398
Bristol, IN 46507-0398
options@adecinc.com
(574) 848-7451"
Arc Opportunities,Indiana,Howe,LaGrange,"Arc Opportunities
235 W 300 N
Howe, IN 46746-9618
info@arcopportunities.org
(260) 463-2653"
Autism Society of Indiana,Indiana,Carmel,Hamilton,800-609-8449
Autism Speaks Of Indiana,Indiana,N/A,N/A,By Website
Bi-County Services,Indiana,Bluffton,Wells,"Bi-County Services
425 E Harrison Rd
Bluffton, IN 46714-9013
info@adifferentlight.com
(260) 824-1253"
Carey Services,Indiana,Marion,Grant,"Carey Services
2724 S Carey St
Marion, IN 46953-3515
dalford@careyservices.com
(765) 668-8961"
Clinton County Arc,Indiana,Frankfort,Clinton,"Clinton County Arc
856 Harvard Ter
Frankfort, IN 46041-3153
wwilliams@accs.net
(765) 659-6380"
Daviess-Martin Rehabilitation Services,Indiana,Washington,Daviess,"Daviess-Martin Rehabilitation Services
2212 E National Hwy
Washington, IN 47501-4516
(812) 847-2231"
Easter Seals Arc of Northeast Indiana,Indiana,Fort Wayne,Allen,"Easter Seals Arc of Northeast Indiana
4919 Coldwater Rd
Fort Wayne, IN 46825-5532
smansker@esarc.org
(260) 456-4534"
Easter Seals of Indiana,Indiana,N/A,N/A,By Website
Fountain County Arc,Indiana,Rockville,Parke,"Fountain County Arc
201 N Dormeyer Ave
Rockville, IN 47872-8107
info@cars-services.org
(765) 569-2076"
Gibson County Area Rehabilitation Centers,Indiana,Princeton,Gibson,"Gibson County Area Rehabilitation Centers
PO Box 5
Princeton, IN 47670-0005
gcarc@gcarc.org
(812) 386-6312"
Greene County Area Rehabilitation Center,Indiana,Lyons,Greene,"Greene County Area Rehabilitation Center
PO Box 141
Lyons, IN 47443-0141
gcds@frrs.org
(812) 659-2197"
HANDS in Autism,Indiana,Indianapolis,Marion,317-944-8162
Hopewell Center,Indiana,Anderson,Madison,"Hopewell Center
PO Box 3150
Anderson, IN 46018-3150
(765) 642-0201"
Indiana Resource Center for Autism,Indiana,Indiana,N/A,By Website
Indiana Resource Center for Autism,Indiana,Bloomington,Monroe,812-855-6508
Jayland Arc,Indiana,Portland,Jay,"Jayland Arc
1187 W Arch St
Portland, IN 47371-3050
rldurhamsr@hotmail.com
(260) 726-6416"
Jennings County Arc,Indiana,North Vernon,Jennings,"Jennings County Arc
623 Hoosier St
North Vernon, IN 47265-1303"
Johnson County Arc,Indiana,Franklin,Johnson,"Johnson County Arc
PO Box 216
Franklin, IN 46131-0216
(317) 738-5500"
Knox County Arc,Indiana,Vincennes,Knox,"Knox County Arc
2525 N 6th St
Vincennes, IN 47591-2405
kcarc@knoxcountyarc.com
(812) 886-4312"
Lawrence County Arc,Indiana,Bedford,Lawrence,"Lawrence County Arc
PO Box 393
Bedford, IN 47421-0393
info@stonebelt.org
(812) 279-3229"
Noble County Arc,Indiana,Albion,Noble,"Noble County Arc
506 S Orange St
Albion, IN 46701-1135
(260) 636-2155"
"Passages, Inc.",Indiana,Columbia City,Whitley,"Passages, Inc.
PO Box 1005
Columbia City, IN 46725-7005
info@passagesinc.org
(260) 244-7688"
Pike County Area Rehabilitation Center,Indiana,Petersburg,Pike,"Pike County Area Rehabilitation Center
PO Box 535
Petersburg, IN 47567-0535
stan.keepes@pcarc.org
(812) 354-6560"
Posey County Arc,Indiana,Mount Vernon,Posey,"Posey County Arc
PO Box 24
Mount Vernon, IN 47620-0024"
Rush County Arc,Indiana,Rushville,Rush,"Rush County Arc
PO Box 44
Rushville, IN 46173-0044
(765) 932-5190"
Spencer County Arc,Indiana,Rockport,Spencer,"Spencer County Arc
PO Box 197
Rockport, IN 47635-0197
scarc@att.net
(812) 649-9538"
Stone Belt Arc,Indiana,Bloomington,Monroe,"Stone Belt Arc
2815 E 10th St
Bloomington, IN 47408-2601
pwrobbins@comcast.net
(812) 332-2168 Ext 249"
Sullivan County Area Rehabilitation Center,Indiana,Sullivan,Sullivan,"Sullivan County Area Rehabilitation Center
424 E Hartley St
Sullivan, IN 47882-1324
scarc@frrs.org
(812) 268-4371"
Sweet Owen Industries Arc,Indiana,Spencer,Owen,"Sweet Owen Industries Arc
PO Box 546
Spencer, IN 47460-0546
khodges@sweetowenarc.org
(812) 829-3978"
Sycamore Services,Indiana,Danville,Hendricks,"Sycamore Services
PO Box 369
Danville, IN 46122-0369
info@sycamoreservices.com
(317) 745-4715"
The Arc Northwest Indiana,Indiana,Gary,Lake,"The Arc Northwest Indiana
2650 W 35th Ave
Gary, IN 46408-1416
mailbox@thearcnwindiana.com
(219) 884-1138"
The Arc of Bartholomew County,Indiana,Columbus,Bartholomew,"The Arc of Bartholomew County
2060 Doctors Park Dr
Columbus, IN 47203-2221
thearcofbc@yahoo.com
(812) 372-0610"
The Arc of Brown County,Indiana,Nashville,Brown,"The Arc of Brown County
PO Box 185
Nashville, IN 47448-0185
(812) 988-2536"
The ARC of Carroll County,Indiana,Flora,Carroll,"The ARC of Carroll County
216 W Clem St
Flora, IN 46929-1213
KINZRB@EARTHLINK.NET
(574) 967-4252"
The Arc of Dearborn County,Indiana,Guilford,Dearborn,"The Arc of Dearborn County
PO Box 14
Guilford, IN 47022-0014
pat05dun@yahoo.com
(812) 623-4631"
The Arc of Decatur County,Indiana,Greensburg,Decatur,"The Arc of Decatur County
PO Box 126
Greensburg, IN 47240-0126
thooten2@etczone.com
(812) 663-8587"
The Arc of Evansville,Indiana,Evansville,Vanderburgh,"The Arc of Evansville
615 W. Virginia Street
Evansville, IN 47710
info@arcofevansville.org
(812) 428-4500"
The Arc of Greater Boone County,Indiana,Lebanon,Boone,"The Arc of Greater Boone County
900 W Main St
Lebanon, IN 46052-2318
info@thearcgbc.org
(765) 482-6815"
The Arc of Hancock County,Indiana,Greenfield,Hancock,"The Arc of Hancock County
141 W Green Meadows Dr Ste 3
Greenfield, IN 46140-3082
dennisthearc@att.net
(317) 462-3727"
The Arc Of Indiana,Indiana,Indianapolis,Marion,800-382-9100
The Arc of Jackson County,Indiana,Seymour,Jackson,"The Arc of Jackson County
242 Springhill Rd.
Seymour, IN 47274
arcjacksoncounty@gmail.com
(812) 522-4323"
The Arc of Tippecanoe County,Indiana,Lafayette,Tippecanoe,"The Arc of Tippecanoe County
PO Box 1222
Lafayette, IN 47902-1222
director@arcoftippecanoe.org
(765) 476-3277"
The Arc of Vigo County,Indiana,Terre Haute,Vigo,"The Arc of Vigo County
89 Cherry St
Terre Haute, IN 47807-2942
arcvigo@gte.net
(812) 232-4112"
The Arc of Wabash County,Indiana,Wabash,Wabash,"The Arc of Wabash County
PO Box 400
Wabash, IN 46992-0400
nhoffman@arcwabash.org
(219) 563-8411"
The Hoosier Prairie Arc,Indiana,Monticello,White,"The Hoosier Prairie Arc
5053 Norway Rd
Monticello, IN 47960-1229
info@cdcresources.org
(574) 583-8227"
The Noble Arc of Greater Indianapolis,Indiana,Indianapolis,Marion,"The Noble Arc of Greater Indianapolis
7701 E 21st St
Indianapolis, IN 46219-2406
rita.davis@nobleofindiana.org
(317) 375-2700"
Arc Cedar County,Iowa,Tipton,Cedar,"Arc Cedar County
604 Horizon Dr
Tipton, IA 52772-2011
(563) 886-6226"
Arc Lucas County,Iowa,Chariton,Lucas,"Arc Lucas County
333 South Ave
Chariton, IA 50049-2323
(641) 774-5493"
Autism Iowa Department of Education,Iowa,Des Moines,Polk,319-356-4619
Autism Society Of Iowa,Iowa,West Des Moines,Polk,888-722-4749
Autism Speaks Of Iowa,Iowa,N/A,N/A,By Website
Champions of Autism & ADHD,Iowa,Iowa,N/A,By Website
Easter Seals Of Iowa,Iowa,N/A,N/A,515-289-1933 or By Website
Henry County Arc,Iowa,New London,Henry,"Henry County Arc
2428 Nebraska Ave
New London, IA 52645-9202
kblfarms@iowatelecom.net
(319) 367-2682"
Jackson County Arc,Iowa,Preston,Jackson,"Jackson County Arc
4866 435th Ave
Preston, IA 52069-9553
(319) 689-6543"
The Arc of Appanoose County,Iowa,Centerville,Appanoose,"The Arc of Appanoose County
PO Box 622
Centerville, IA 52544-0622
(641) 856-5385"
The Arc of Cedar Valley,Iowa,Waterloo,Black Hawk,"The Arc of Cedar Valley
PO Box 4090
Waterloo, IA 50704-4090
arccv@episervice.org
(319) 232-0437"
The Arc of East Central Iowa,Iowa,Cedar Rapids,Linn,"The Arc of East Central Iowa
680 2nd St SE Ste 200
Cedar Rapids, IA 52401-2026
(319) 365-0487"
The Arc Of Iowa,Iowa,Urbandale,Polk,515-232-9330
The Arc of Jefferson & Nearby Counties,Iowa,Fairfield,Jefferson,"The Arc of Jefferson & Nearby Counties
P.O.Box 806
Fairfield, IA 52556
mkcofhem@yahoo.com
(641) 472-4449"
The Arc of North Central Iowa,Iowa,Mason City,Cerro Gordo,"The Arc of North Central Iowa
219 1st St SW
Mason City, IA 50401-3707
advocacy@arcofnciowa.org
(641) 422-0157"
The Arc of Southeast Iowa,Iowa,Iowa City,Johnson,"The Arc of Southeast Iowa
2620 Muscatine Ave
Iowa City, IA 52240-6656
jenadrian@mcleodusa.net
(319) 351-5017"
The Arc of Story County,Iowa,Ames,Story,"The Arc of Story County
130 S Sheldon Ave Ste 302
Ames, IA 50014-7383
arcdirector@thearcstory.org
(515) 232-9330"
University Of Iowa Regional Autism Assistance Program,Iowa,Iowa City,Johnson,"Iowa-RAP@uiowa.edu
866-219-9119"
Wayne County Arc,Iowa,Promise City,Wayne,"Wayne County Arc
PO Box 37
Promise City, IA 52583-0037
(515) 874-5987"
Woodbury County Arc,Iowa,Sioux City,Woodbury,"Woodbury County Arc
3001 Malloy Rd
Sioux City, IA 51103-1007
(712) 258-5050"
Anderson County Arc,Kansas,Garnett,Anderson,"Anderson County Arc
105 Park Plz N Apt 9
Garnett, KS 66032-1639
kdotram@terraworld.net
(785) 448-6621"
Autism Speaks Of Kansas,Kansas,N/A,N/A,By Website
"CCDS, Inc.",Kansas,Arkansas City,Cowley,"CCDS, Inc.
110 W Bryant Rd
Arkansas City, KS 67005-4053
thearc@ccds.kscoxmail.com
(620) 442-5270"
Saline County Arc,Kansas,Salina,Saline,"Saline County Arc
PO Box 362
Salina, KS 67402-0362
(785) 826-9766"
TARC,Kansas,Topeka,Shawnee,"TARC
2701 SW Randolph Ave
Topeka, KS 66611-1599
info@tarcinc.org
(785) 232-0597"
The Arc of Butler County,Kansas,El Dorado,Butler,"The Arc of Butler County
PO Box 1391
El Dorado, KS 67042-1391
jennifer.stanyer@hotmail.com
(316) 680-4240"
The Arc of Central Plains,Kansas,Hays,Ellis,"The Arc of Central Plains
PO Box 163
Hays, KS 67601-0163
thearccp@hotmail.com
(785) 628-6512"
The Arc of Douglas County,Kansas,Lawrence,Douglas,"The Arc of Douglas County
2518 Ridge Ct Ste 238
Lawrence, KS 66046-4061
bbishop@thearcdcks.org
(785) 749-0121"
The Arc of Marshall County,Kansas,Waterville,Marshall,"The Arc of Marshall County
107 W Commercial St
Waterville, KS 66548-9119
(785) 363-2604"
The Arc of Sedgwick County,Kansas,Wichita,Sedgwick,"The Arc of Sedgwick County
2919 West 2nd Street North
Wichita, KS 67203
arc@arc-sedgwickcounty.org
(316) 943-1191"
The Arc of Sunflower,Kansas,McPherson,McPherson,"The Arc of Sunflower
PO Box 276
McPherson, KS 67460-0276
kcarlson@bethanyhome.com"
The Kansas Center for Autism,Kansas,Overland Park,Johnson,813-321-3143 Ext 209
A.R.H.H.C. of Hardin County,Kentucky,Elizabethtown,Hardin,"A.R.H.H.C. of Hardin County
PO Box 2013
Elizabethtown, KY 42702-2013
arhhc@aol.com
(270) 737-1140"
Arc of Barren County,Kentucky,Glasgow,Barren,"Arc of Barren County
PO Box 205
Glasgow, KY 42142-0205
thebcarc@gmail.com
270-404-5649"
Autism Society Of Kentucky,Kentucky,N/A,N/A,812-896-1728
Autism Speaks of Kentucky,Kentucky,N/A,N/A,By Website
Easter Seals Of Kentucky,Kentucky,N/A,N/A,859-491-1171
Kentucky Autism Training Center,Kentucky,Louisville,Jefferson,800-334-8635
Louisville Metro Arc,Kentucky,Louisville,Jefferson,"Louisville Metro Arc
3713 Fallen Timber Dr
Louisville, KY 40241-1620
savemarkbrown@Yahoo.com
(502) 339-8690"
PLANS – Arc of Christian County,Kentucky,Hopkinsville,Christian,"PLANS – Arc of Christian County
PO Box 1257
Hopkinsville, KY 42241-1257
cjthorpe828@bellsouth.net
(270) 348-4837"
The Arc of Central Kentucky,Kentucky,Lexington,Fayette,"The Arc of Central Kentucky
2933 Neal Dr.
Lexington, KY 40503
covertrp@insightbb.com
(859) 278-2233"
The Arc Of Kentucky,Kentucky,Frankfort,Franklin,800-281-1272
The Arc of Lake Cumberland,Kentucky,Somerset,Pulaski,"The Arc of Lake Cumberland
90 Venture Way
Somerset, KY 42503-5815
daleandsteven@hotmail.com
(606) 875-9890"
The Arc of Logan County,Kentucky,Russellville,Logan,"The Arc of Logan County
443 Hopkinsville Rd
Russellville, KY 42276-1286
tthompson@epanet.com
(502) 726-7871"
The Arc of Owensboro,Kentucky,Owensboro,Daviess,"The Arc of Owensboro
731 Jackson St
Owensboro, KY 42303-0364
opptcent@bellsouth.net
(270) 685-2976"
The Point,Kentucky,Covington,Kenton,"The Point
104 W Pike St
Covington, KY 41011-2310
jgerding@thepointarc.org
(859) 491-9191"
Arc – Morehouse,Louisiana,Bastrop,Morehouse Parish,"Arc – Morehouse
10640 Lucy Hudson Dr
Bastrop, LA 71220-1838
challey@suddenlinkmail.com
(318) 283-2338"
Autism Society Of Lousiana,Louisiana,Baton Rouge,East Baton Rouge Parish,800-955-3760
Beauregard Arc,Louisiana,DeRidder,Beauregard Parish,"Beauregard Arc
PO Box 13
DeRidder, LA 70634-0013
beauregardarc@suddenlinkmail.com
(337) 202-1908"
Donaldsonville Arc,Louisiana,Donaldsonville,Ascension Parish,"Donaldsonville Arc
1030 Clay St
Donaldsonvlle, LA 70346-3518
daarc@eatel.net
(225) 473-4516"
Iberville Arc,Louisiana,Plaquemine,Iberville Parish,"Iberville Arc
PO Box 201
Plaquemine, LA 70765-0201
michael_arci@bellsouth.net
(225) 687-4062"
Louisiana State Resources,Louisiana,N/A,N/A,By Website
Rapides Arc,Louisiana,Alexandria,Rapides,"Rapides Arc
1700 Ashley Ave
Alexandria, LA 71301-7343
rapidesarc@aol.com
(318) 445-5287"
St. James Arc,Louisiana,Vacherie,St. James Parish,"St. James Arc
29150 Health Unit St
Vacherie, LA 70090-4221
knelson@clarkearc.com
(225) 265-7910"
St. John Arc,Louisiana,La Place,St. John the Baptist Parish,"St. John Arc
101 Bamboo Rd
La Place, LA 70068-6457
stjohnarc@comcast.net
(985) 652-8003"
St. Martin Arc,Louisiana,St. Martinville,St. Martin Parish,"St. Martin Arc
500 Lelia St
St Martinvlle, LA 70582-4109
(337) 394-4928"
St. Mary Arc,Louisiana,Centerville,St. Mary Parish,"St. Mary Arc
PO Box 3
Centerville, LA 70522-0003
stmarycente3554@bellsouth.net
(337) 836-9445"
TARC,Louisiana,Hammond,Tangipahoa Parish,"TARC
201 E Church St
Hammond, LA 70401-2628
robin@tarc-hammond.com
(985) 345-8811"
Terrebonne Arc,Louisiana,Houma,Terrebonne Parish,"Terrebonne Arc
1 McCord Rd
Houma, LA 70363-5547
adminasst@terrebonnearc.org
(985) 876-4465"
The Arc Caddo-Bossier,Louisiana,Shreveport,Caddo Parish,"The Arc Caddo-Bossier
351 Jordan Street
Shreveport, LA 71101
langlin@thearccaddobossier.org
(318) 221-8392"
The Arc of Acadiana,Louisiana,New Iberia,Iberia Parish,"The Arc of Acadiana
3716 Redwood Dr
New Iberia, LA 70560-3379
(337) 367-6813"
The Arc of Baton Rouge,Louisiana,Baton Rouge,East Baton Rouge Parish,"The Arc of Baton Rouge
8326 Kelwood Ave
Baton Rouge, LA 70806-4803
info@arcbatonrouge.org
(225) 927-0855"
The Arc of East Ascension,Louisiana,Gonzales,Ascension Parish,"The Arc of East Ascension
1122 E Ascension Complex Blvd
Gonzales, LA 70737-4265
opportunities@eatel.net
(225) 621-2000"
The Arc of Greater New Orleans,Louisiana,Metairie,Jefferson Parish,"The Arc of Greater New Orleans
925 S Labarre Rd
Metairie, LA 70001-5921
arcgnoinfo@bellsouth.net
(504) 837-5140"
The Arc Of Louisana,Louisiana,Baton Rouge,East Baton Rouge Parish,225-383-1033
The Arc of Sabine,Louisiana,Many,Sabine Parish,"The Arc of Sabine
PO Box 1150
Many, LA 71449-1150
sarc@suddenlinkmail.com
(318) 256-2025"
The Arc of St. Charles,Louisiana,Boutte,St. Charles Parish,"The Arc of St. Charles
PO Box 455
Boutte, LA 70039-0455
thearcsc@bellsouth.net
(985) 785-0971"
Vermilion Arc,Louisiana,Erath,Vermilion Parish,"Vermilion Arc
809 S Severin St
Erath, LA 70533-4147
(337) 937-6113"
Autism Society Maine,Maine,Winthrop,Kennebec County,"Autism Society Maine
72B Main Street
Winthrop, ME 04364
800-273-5200"
Autism Speaks of Maine,Maine,N/A,N/A,888-288-4762
Easter Seals of Maine,Maine,Portland,Cumberland County,"Easter Seals of Maine
125 Presumpscot Street
Portland, ME 04103
207-828-1754"
KFI,Maine,Millinocket,Penobscot,"KFI
1024 Central St Ste A
Millinocket, ME 04462-2111
(207) 723-9466"
Arc of Southern Maryland,Maryland,Prince Frederick,Calvert,"Arc of Southern Maryland
PO Box 1860
Prince Frederick, MD 20678-1860
info@arcsomd.org
(410) 535-2413"
Arc of Washington County,Maryland,Hagerstown,Washington,"Arc of Washington County
820 Florida Ave
Hagerstown, MD 21740-3619
webmaster@arcwc-md.org
(301) 733-3550"
Autism Society of Baltimore,Maryland,Baltimore,Baltimore,410-234-2791
Linwood Center,Maryland,Ellicott City,Howard,410-465-1352
MontgomeryWorks,Maryland,Wheaton,Montgomery,By Website
Pathfinders for Autism,Maryland,Cockeysville,Baltimore,443-330-5370
The Arc Baltimore,Maryland,Baltimore,Baltimore,"The Arc Baltimore
7215 York Rd
Baltimore, MD 21212-1528
(410) 296-2272"
The Arc Carroll County,Maryland,Westminster,Carroll,"The Arc Carroll County
180 Kriders Church Rd
Westminster, MD 21158-4307
drowe@arccarroll.com
(410) 848-4124 Ext 112"
The Arc Northern Chesapeake Region,Maryland,Aberdeen,Harford,"The Arc Northern Chesapeake Region
4513 Philadelphia Road
Aberdeen, MD 21001
(410) 879-6785 Ext 338"
The Arc of Frederick County,Maryland,Frederick,Frederick,"The Arc of Frederick County
620-A Research Ct
Frederick, MD 21703-8626
info@arcfc.org
(301) 663-0909"
The Arc of Howard County,Maryland,Ellicott City,Howard,"The Arc of Howard County
11735 Homewood Rd
Ellicott City, MD 21042-1509
info@archoward.org
(410) 730-0638"
The Arc of Maryland,Maryland,Annapolis,Anne Arundel,410-974-6139
The Arc of Montgomery County,Maryland,Rockville,Montgomery,"The Arc of Montgomery County
11600 Nebel St
Rockville, MD 20852-2538
maryw@arcmontmd.org
(301) 984-5777"
The Arc of Prince George’s County,Maryland,Largo,Prince George's,"The Arc of Prince George’s County
1401 McCormick Dr
Largo, MD 20774-5507
(301) 493-6674 Ext 22"
The Arc of the Central Chesapeake Region,Maryland,Annapolis,Anne Arundel,"The Arc of the Central Chesapeake Region
931 Spa Rd
Annapolis, MD 21401-3540
carr21037@comcast.net
(410) 268-8085"
Autism Society of Massachusetts,Massachusetts,Wellesley Hills,Norfolk,781-237-0372
Autism Speaks of Massachusetts,Massachusetts,Boston,Suffolk,By Website
Berkshire County Arc,Massachusetts,Pittsfield,Berkshire,"Berkshire County Arc
395 South St
Pittsfield, MA 01201-6803
bcarc@bcarc.org
(413) 499-4241"
Brockton Area Arc,Massachusetts,Brockton,Plymouth,"Brockton Area Arc
1250 W Chestnut St
Brockton, MA 02301-5533
baarc@brocktonarc.net
(508) 583-8030"
Greater Waltham Arc,Massachusetts,Waltham,Middlesex,"Greater Waltham Arc
56 Chestnut St
Waltham, MA 02453-4433
jwiswall@gwarc.org
(781) 899-1344"
Massachusetts Autism Resources,Massachusetts,N/A,N/A,By Website
MassWorks,Massachusetts,Boston,Suffolk,"MassWorks
100 Morrissey Blvd.
Boston, MA 02125
ici@umb.edu
Voice:(617) 287-4300 Fax: (617) 287-4352 TTY: (617) 287-4350"
Minute Man Arc for Human Services,Massachusetts,Concord,Middlesex,"Minute Man Arc for Human Services
1269 Main St
Concord, MA 01742-3099
cpowderly@minutemanarc.org
(978) 287-7932"
Northeast Arc,Massachusetts,Danvers,Essex,"Northeast Arc
64 Holten St
Danvers, MA 01923-1973
(978) 762-4878"
Northeast Arc Autism Support Center,Massachusetts,Massachusetts,N/A,By Website
South Norfolk County Arc,Massachusetts,Westwood,Norfolk,"South Norfolk County Arc
789 Clapboardtree St
Westwood, MA 02090-1717
info@arcsouthnorfolk.org
(781) 762-4001"
Southern Worcester County Arc,Massachusetts,Southbridge,Worcester,"Southern Worcester County Arc
PO Box 66
Southbridge, MA 01550-0066
info@thecenterofhope.org
(508) 764-4085"
The Arc of Cape Cod,Massachusetts,Hyannis,Barnstable,"The Arc of Cape Cod
PO Box 428
Hyannis, MA 02601-0428
info@arcofcapecod.org
(508) 790-3667"
The Arc of East Middlesex,Massachusetts,Reading,Middlesex,"The Arc of East Middlesex
20 Gould St
Reading, MA 01867-2927
mobrien@theemarc.org
(781) 942-4888 Ext 4011"
"The Arc of Great Plymouth, Inc.",Massachusetts,Plymouth,Plymouth,"The Arc of Great Plymouth, Inc.
52 Armstrong Road
Plymouth, MA 02360-7333
info@thearcofgp.com
(508) 732-9292"
The Arc of Greater Haverhill-Newburyport,Massachusetts,Haverhill,Essex,"The Arc of Greater Haverhill-Newburyport
57 Wingate St Ste 301
Haverhill, MA 01832-5720
eileen.woelfel@thearcofghn.org
(978) 373-0552"
The Arc of Greater Lawrence,Massachusetts,Lawrence,Essex,"The Arc of Greater Lawrence
1 Parker St
Lawrence, MA 01843-1540
sleibowitz@classinc.org
(978) 975-8587"
The Arc of Massachusetts,Massachusetts,Waltham,Middlesex,781-891-6270
The Arc of Northern Bristol County,Massachusetts,Attleboro,Bristol,"The Arc of Northern Bristol County
141 Park St
Attleboro, MA 02703-3020
info@arcnbc.org
(508) 226-1445"
The Arc of Opportunity in North Central Massachusetts,Massachusetts,Fitchburg,Worcester,"The Arc of Opportunity in North Central Massachusetts
564 Main St
Fitchburg, MA 01420-8011
m.heafy@arc-matson.org
(978) 343-6662 Ext 131"
The Arc of The South Shore,Massachusetts,North Weymouth,Norfolk,"The Arc of The South Shore
371 River St
N Weymouth, MA 02191-2200
info@arcsouthshore.org
(781) 335-3023"
The Asperger/Autism Network (AANE),Massachusetts,Massachusetts,N/A,By Website
The Charles River Center,Massachusetts,Needham,Norfolk,"The Charles River Center
59 E Militia Heights Dr
Needham, MA 02492-1341
(781) 972-1000"
The United Arc of Franklin & Hampshire Counties,Massachusetts,Greenfield,Franklin,"The United Arc of Franklin & Hampshire Counties
111 Summer St
Greenfield, MA 01301-1481
molloy1@verizon.net
(413) 774-5558"
Arc – Gogebic County,Michigan,Bessemer,Gogebic,"Arc – Gogebic County
PO Box 45
Bessemer, MI 49911-0045
(906) 663-4461"
ARC Advocacy & Resource Center of Ottawa County,Michigan,Holland,Ottawa,"ARC Advocacy & Resource Center of Ottawa County
665 136th Ave Ste 90
Holland, MI 49424-1897
info@arc-resources.org
(616) 738-8570"
Arc Downriver,Michigan,Wyandotte,Wayne,"Arc Downriver
4212 13th St
Wyandotte, MI 48192-7003
arcriver@sbcglobal.net
(734) 283-0710"
