name,country,city,address,latitude,longitude,info,free_quote_link
The Arc of Liberty County,USA,Georgia,"908, , ,Hinesville,31310-0908,Liberty",32.157435,-82.907123,"glw.1950@gmail.com, (912) 492-9285",
The Arc of Middle Georgia,USA,Georgia," ,Creekview Trail,105,Warner Robins,31088,Houston",32.157435,-82.907123,(478) 283-0588,
The Arc of Northeast Georgia,USA,Georgia,"478, , ,Demorest,30535-0478,Habersham",32.157435,-82.907123,"jmcferrin@piedmont.edu, (706) 776-8023",
The Arc of Thomas-Grady Counties,USA,Georgia,"994, , ,Thomasville,31799-0994,Thomas",32.157435,-82.907123,"cspears@swgaboh.org, (229) 225-4065",
The Arc of Toombs County,USA,Georgia,"27, , ,Lyons,30436-0027,Toombs",32.157435,-82.907123,(912) 526-3268,
The Arc in Hawaii,USA,Hawaii," ,Diamond Head Road,3989,Honolulu,96816,Honolulu",19.898682,-155.665857,"info@thearcinhawaii.org, (808) 737-7995",
The Arc of Hilo,USA,Hawaii," ,Waianuenue Ave,1099,Hilo,96720-2019,Hawaii",19.898682,-155.665857,"arc@hiloarc.org, (808) 935-7644",
The Arc of Kona,USA,Hawaii,"127, , ,Kealakekua,96750-0127,Hawaii",19.898682,-155.665857,(808) 323-2626,
The Arc of Maui,USA,Hawaii," ,Mahalani St Rm 17,95,Wailuku,96793-2521,Maui",19.898682,-155.665857,"arcinfo@arcofmaui.org, (808) 242-5781",
"The Arc, Inc.",USA,Idaho," ,Albion Street,4402,Boise,83705,Ada",44.068202,-114.742041,"lcahill@thearcinc.org, (208) 343-5583",
Adams County Arc,USA,Illinois,"3602, , ,Quincy,62305-3602,Adams",40.633125,-89.398528,"coonsbillkitty@hotmail.com, (217) 224-8328",
Association for Individual Development,USA,Illinois," ,W. New Indian Trail Court,309,Aurora,60506,Kane",40.633125,-89.398528,(630) 966-4000,
Avenues to Independence,USA,Illinois," ,Busse Hwy,515,Park Ridge,60068-3154,Cook",40.633125,-89.398528,"avenues@avenuesonline.org, (847) 292-0870",
Blue Island Citizens for DD,USA,Illinois," ,Broadway St,2155,Blue Island,60406-3050,Cook",40.633125,-89.398528,"blucap@aol.com, (708) 389-6578",
Gateway Services,USA,Illinois,"535, , ,Princeton,61356-0535,Bureau",40.633125,-89.398528,"info@gateway-services.org, (815) 875-4548",
LARC,USA,Illinois,"77, , ,Lansing,60438-0077,Cook",40.633125,-89.398528,"Execdir@sbcglobal.net, (708) 474-1540",
"New Hope Association, Inc.",USA,Illinois," ,E 154th St,1624,Dolton,60419-3002,Cook",40.633125,-89.398528,"info@newhopecenterinc.com, (708) 841-1071",
"PACT, Inc.",USA,Illinois," ,Warrenville Rd Ste 300,750,Lisle,60532-0902,DuPage",40.633125,-89.398528,"pact@pactinc.net, (630) 960-9700",
Park Lawn Association,USA,Illinois," ,Laporte Ave,10833,Oak Lawn,60453-5412,Cook",40.633125,-89.398528,"info@parklawn.com, (708) 425-3344",
Seguin Services,USA,Illinois," ,S Central Ave,3100,Cicero,60804-3956,Cook",40.633125,-89.398528,"info@seguin.org, (708) 863-3803",
SouthSTAR Services,USA,Illinois," ,W End Ave,1005,Chicago Heights,60411-2742,Cook",40.633125,-89.398528,"dstrick@southstarservices.org, (708) 755-8030",
Sparc,USA,Illinois," ,N Bruns Ln,232,Springfield,62702-4613,Sangamon",40.633125,-89.398528,(217) 793-2100,
The Arc of Iroquois County,USA,Illinois," ,E Elm St,700,Watseka,60970-1400,Iroquois",40.633125,-89.398528,"info@thearcirq.org, (815) 432-5288",
The Arc of the Quad Cities Area,USA,Illinois," ,9th St,4016,Rock Island,61201-6722,Rock Island",40.633125,-89.398528,"dixonl@arcqca.org, (309) 786-6474",
"The Arc of Winnebago, Boone & Ogle",USA,Illinois," ,E State St,1222,Rockford,61104-2230,Winnebago",40.633125,-89.398528,"jackinb@arcwbo.org, (815) 965-3455",
The Autism Program of Illinois (TAP),USA,Illinois," ,S. 6th Street Rd.,5220,Springfield,62703,Sangamon",40.633125,-89.398528,(217) 525-8332,
UPS for DownS,USA,Illinois," ,S Roselle Rd,1070,Schaumburg,60193-3961,Cook",40.633125,-89.398528,"info@upsfordowns.org, (847) 895-2100",
Achieva Resources Corporation,USA,Indiana,"1222, , ,Richmond,47375-1222,Wayne",40.551217,-85.602364,"ablevins@achievaresources.org, (765) 966-0502",
"ADEC, Inc.",USA,Indiana,"398, , ,Bristol,46507-0398,Elkhart",40.551217,-85.602364,"options@adecinc.com, (574) 848-7451",
Arc Opportunities,USA,Indiana," ,W 300 N,235,Howe,46746-9618,LaGrange",40.551217,-85.602364,"info@arcopportunities.org, (260) 463-2653",
Bi-County Services,USA,Indiana," ,E Harrison Rd,425,Bluffton,46714-9013,Wells",40.551217,-85.602364,"info@adifferentlight.com, (260) 824-1253",
Carey Services,USA,Indiana," ,S Carey St,2724,Marion,46953-3515,Grant",40.551217,-85.602364,"dalford@careyservices.com, (765) 668-8961",
Clinton County Arc,USA,Indiana," ,Harvard Ter,856,Frankfort,46041-3153,Clinton",40.551217,-85.602364,"wwilliams@accs.net, (765) 659-6380",
Daviess-Martin Rehabilitation Services,USA,Indiana," ,E National Hwy,2212,Washington,47501-4516,Daviess",40.551217,-85.602364,(812) 847-2231,
Easter Seals Arc of Northeast Indiana,USA,Indiana," ,Coldwater Rd,4919,Fort Wayne,46825-5532,Allen",40.551217,-85.602364,"smansker@esarc.org, (260) 456-4534",
Fountain County Arc,USA,Indiana," ,N Dormeyer Ave,201,Rockville,47872-8107,Parke",40.551217,-85.602364,"info@cars-services.org, (765) 569-2076",
Gibson County Area Rehabilitation Centers,USA,Indiana,"5, , ,Princeton,47670-0005,Gibson",40.551217,-85.602364,"gcarc@gcarc.org, (812) 386-6312",
Greene County Area Rehabilitation Center,USA,Indiana,"141, , ,Lyons,47443-0141,Greene",40.551217,-85.602364,"gcds@frrs.org, (812) 659-2197",
Hopewell Center,USA,Indiana,"3150, , ,Anderson,46018-3150,Madison",40.551217,-85.602364,(765) 642-0201,
Jayland Arc,USA,Indiana," ,W Arch St,1187,Portland,47371-3050,Jay",40.551217,-85.602364,"rldurhamsr@hotmail.com, (260) 726-6416",
Jennings County Arc,USA,Indiana," ,Hoosier St,623,North Vernon,47265-1303,Jennings",40.551217,-85.602364,,
Johnson County Arc,USA,Indiana,"216, , ,Franklin,46131-0216,Johnson",40.551217,-85.602364,(317) 738-5500,
Knox County Arc,USA,Indiana," ,N 6th St,2525,Vincennes,47591-2405,Knox",40.551217,-85.602364,"kcarc@knoxcountyarc.com, (812) 886-4312",
Lawrence County Arc,USA,Indiana,"393, , ,Bedford,47421-0393,Lawrence",40.551217,-85.602364,"info@stonebelt.org, (812) 279-3229",
Noble County Arc,USA,Indiana," ,S Orange St,506,Albion,46701-1135,Noble",40.551217,-85.602364,(260) 636-2155,
"Passages, Inc.",USA,Indiana,"1005, , ,Columbia City,46725-7005,Whitley",40.551217,-85.602364,"info@passagesinc.org, (260) 244-7688",
Pike County Area Rehabilitation Center,USA,Indiana,"535, , ,Petersburg,47567-0535,Pike",40.551217,-85.602364,"stan.keepes@pcarc.org, (812) 354-6560",
Posey County Arc,USA,Indiana,"24, , ,Mount Vernon,47620-0024,Posey",40.551217,-85.602364,,
Rush County Arc,USA,Indiana,"44, , ,Rushville,46173-0044,Rush",40.551217,-85.602364,(765) 932-5190,
Spencer County Arc,USA,Indiana,"197, , ,Rockport,47635-0197,Spencer",40.551217,-85.602364,"scarc@att.net, (812) 649-9538",
Stone Belt Arc,USA,Indiana," ,E 10th St,2815,Bloomington,47408-2601,Monroe",40.551217,-85.602364,"pwrobbins@comcast.net, (812) 332-2168",
Sullivan County Area Rehabilitation Center,USA,Indiana," ,E Hartley St,424,Sullivan,47882-1324,Sullivan",40.551217,-85.602364,"scarc@frrs.org, (812) 268-4371",
Sweet Owen Industries Arc,USA,Indiana,"546, , ,Spencer,47460-0546,Owen",40.551217,-85.602364,"khodges@sweetowenarc.org, (812) 829-3978",
Sycamore Services,USA,Indiana,"369, , ,Danville,46122-0369,Hendricks",40.551217,-85.602364,"info@sycamoreservices.com, (317) 745-4715",
The Arc Northwest Indiana,USA,Indiana," ,W 35th Ave,2650,Gary,46408-1416,Lake",40.551217,-85.602364,"mailbox@thearcnwindiana.com, (219) 884-1138",
The Arc of Bartholomew County,USA,Indiana," ,Doctors Park Dr,2060,Columbus,47203-2221,Bartholomew",40.551217,-85.602364,"thearcofbc@yahoo.com, (812) 372-0610",
The Arc of Brown County,USA,Indiana,"185, , ,Nashville,47448-0185,Brown",40.551217,-85.602364,(812) 988-2536,
The ARC of Carroll County,USA,Indiana," ,W Clem St,216,Flora,46929-1213,Carroll",40.551217,-85.602364,"KINZRB@EARTHLINK.NET, (574) 967-4252",
The Arc of Dearborn County,USA,Indiana,"14, , ,Guilford,47022-0014,Dearborn",40.551217,-85.602364,"pat05dun@yahoo.com, (812) 623-4631",
The Arc of Decatur County,USA,Indiana,"126, , ,Greensburg,47240-0126,Decatur",40.551217,-85.602364,"thooten2@etczone.com, (812) 663-8587",
The Arc of Evansville,USA,Indiana," ,W. Virginia Street,615,Evansville,47710,Vanderburgh",40.551217,-85.602364,"info@arcofevansville.org, (812) 428-4500",
The Arc of Greater Boone County,USA,Indiana," ,W Main St,900,Lebanon,46052-2318,Boone",40.551217,-85.602364,"info@thearcgbc.org, (765) 482-6815",
The Arc of Hancock County,USA,Indiana," ,W Green Meadows Dr Ste 3,141,Greenfield,46140-3082,Hancock",40.551217,-85.602364,"dennisthearc@att.net, (317) 462-3727",
The Arc of Jackson County,USA,Indiana," ,Springhill Rd.,242,Seymour,47274,Jackson",40.551217,-85.602364,"arcjacksoncounty@gmail.com, (812) 522-4323",
The Arc of Tippecanoe County,USA,Indiana,"1222, , ,Lafayette,47902-1222,Tippecanoe",40.551217,-85.602364,"director@arcoftippecanoe.org, (765) 476-3277",
The Arc of Vigo County,USA,Indiana," ,Cherry St,89,Terre Haute,47807-2942,Vigo",40.551217,-85.602364,"arcvigo@gte.net, (812) 232-4112",
The Arc of Wabash County,USA,Indiana,"400, , ,Wabash,46992-0400,Wabash",40.551217,-85.602364,"nhoffman@arcwabash.org, (219) 563-8411",
The Hoosier Prairie Arc,USA,Indiana," ,Norway Rd,5053,Monticello,47960-1229,White",40.551217,-85.602364,"info@cdcresources.org, (574) 583-8227",
The Noble Arc of Greater Indianapolis,USA,Indiana," ,E 21st St,7701,Indianapolis,46219-2406,Marion",40.551217,-85.602364,"rita.davis@nobleofindiana.org, (317) 375-2700",
Arc Cedar County,USA,Iowa," ,Horizon Dr,604,Tipton,52772-2011,Cedar",41.878003,-93.097702,(563) 886-6226,
Arc Lucas County,USA,Iowa," ,South Ave,333,Chariton,50049-2323,Lucas",41.878003,-93.097702,(641) 774-5493,
Henry County Arc,USA,Iowa," ,Nebraska Ave,2428,New London,52645-9202,Henry",41.878003,-93.097702,"kblfarms@iowatelecom.net, (319) 367-2682",
Jackson County Arc,USA,Iowa," ,435th Ave,4866,Preston,52069-9553,Jackson",41.878003,-93.097702,(319) 689-6543,
The Arc of Appanoose County,USA,Iowa,"622, , ,Centerville,52544-0622,Appanoose",41.878003,-93.097702,(641) 856-5385,
The Arc of Cedar Valley,USA,Iowa,"4090, , ,Waterloo,50704-4090,Black Hawk",41.878003,-93.097702,"arccv@episervice.org, (319) 232-0437",
The Arc of East Central Iowa,USA,Iowa," ,2nd St SE Ste 200,680,Cedar Rapids,52401-2026,Linn",41.878003,-93.097702,(319) 365-0487,
The Arc of Jefferson & Nearby Counties,USA,Iowa," , , ,Fairfield,52556,Jefferson",41.878003,-93.097702,"mkcofhem@yahoo.com, (641) 472-4449",
The Arc of North Central Iowa,USA,Iowa," ,1st St SW,219,Mason City,50401-3707,Cerro Gordo",41.878003,-93.097702,"advocacy@arcofnciowa.org, (641) 422-0157",
The Arc of Southeast Iowa,USA,Iowa," ,Muscatine Ave,2620,Iowa City,52240-6656,Johnson",41.878003,-93.097702,"jenadrian@mcleodusa.net, (319) 351-5017",
The Arc of Story County,USA,Iowa," ,S Sheldon Ave Ste 302,130,Ames,50014-7383,Story",41.878003,-93.097702,"arcdirector@thearcstory.org, (515) 232-9330",
Wayne County Arc,USA,Iowa,"37, , ,Promise City,52583-0037,Wayne",41.878003,-93.097702,(515) 874-5987,
Woodbury County Arc,USA,Iowa," ,Malloy Rd,3001,Sioux City,51103-1007,Woodbury",41.878003,-93.097702,(712) 258-5050,
Anderson County Arc,USA,Kansas," ,Park Plz N Apt 9,105,Garnett,66032-1639,Anderson",39.011902,-98.484246,"kdotram@terraworld.net, (785) 448-6621",
"CCDS, Inc.",USA,Kansas," ,W Bryant Rd,110,Arkansas City,67005-4053,Cowley",39.011902,-98.484246,"thearc@ccds.kscoxmail.com, (620) 442-5270",
Saline County Arc,USA,Kansas,"362, , ,Salina,67402-0362,Saline",39.011902,-98.484246,(785) 826-9766,
TARC,USA,Kansas," ,SW Randolph Ave,2701,Topeka,66611-1599,Shawnee",39.011902,-98.484246,"info@tarcinc.org, (785) 232-0597",
The Arc of Butler County,USA,Kansas,"1391, , ,El Dorado,67042-1391,Butler",39.011902,-98.484246,"jennifer.stanyer@hotmail.com, (316) 680-4240",
The Arc of Central Plains,USA,Kansas,"163, , ,Hays,67601-0163,Ellis",39.011902,-98.484246,"thearccp@hotmail.com, (785) 628-6512",
The Arc of Douglas County,USA,Kansas," ,Ridge Ct Ste 238,2518,Lawrence,66046-4061,Douglas",39.011902,-98.484246,"bbishop@thearcdcks.org, (785) 749-0121",
The Arc of Marshall County,USA,Kansas," ,W Commercial St,107,Waterville,66548-9119,Marshall",39.011902,-98.484246,(785) 363-2604,
The Arc of Sedgwick County,USA,Kansas," ,West 2nd Street North,2919,Wichita,67203,Sedgwick",39.011902,-98.484246,"arc@arc-sedgwickcounty.org, (316) 943-1191",
The Arc of Sunflower,USA,Kansas,"276, , ,McPherson,67460-0276,McPherson",39.011902,-98.484246,kcarlson@bethanyhome.com,
A.R.H.H.C. of Hardin County,USA,Kentucky,"2013, , ,Elizabethtown,42702-2013,Hardin",37.839333,-84.270018,"arhhc@aol.com, (270) 737-1140",
Arc of Barren County,USA,Kentucky,"205, , ,Glasgow,42142-0205,Barren",37.839333,-84.270018,"thebcarc@gmail.com, 270-404-5649",
Louisville Metro Arc,USA,Kentucky," ,Fallen Timber Dr,3713,Louisville,40241-1620,Jefferson",37.839333,-84.270018,"savemarkbrown@Yahoo.com, (502) 339-8690",
PLANS – Arc of Christian County,USA,Kentucky,"1257, , ,Hopkinsville,42241-1257,Christian",37.839333,-84.270018,"cjthorpe828@bellsouth.net, (270) 348-4837",
The Arc of Central Kentucky,USA,Kentucky," ,Neal Dr.,2933,Lexington,40503,Fayette",37.839333,-84.270018,"covertrp@insightbb.com, (859) 278-2233",
The Arc of Lake Cumberland,USA,Kentucky," ,Venture Way,90,Somerset,42503-5815,Pulaski",37.839333,-84.270018,"daleandsteven@hotmail.com, (606) 875-9890",
The Arc of Logan County,USA,Kentucky," ,Hopkinsville Rd,443,Russellville,42276-1286,Logan",37.839333,-84.270018,"tthompson@epanet.com, (502) 726-7871",
The Arc of Owensboro,USA,Kentucky," ,Jackson St,731,Owensboro,42303-0364,Daviess",37.839333,-84.270018,"opptcent@bellsouth.net, (270) 685-2976",
The Point,USA,Kentucky," ,W Pike St,104,Covington,41011-2310,Kenton",37.839333,-84.270018,"jgerding@thepointarc.org, (859) 491-9191",
Arc – Morehouse,USA,Louisiana," ,Lucy Hudson Dr,10640,Bastrop,71220-1838,Morehouse Parish",31.244823,-92.145024,"challey@suddenlinkmail.com, (318) 283-2338",
Beauregard Arc,USA,Louisiana,"13, , ,DeRidder,70634-0013,Beauregard Parish",31.244823,-92.145024,"beauregardarc@suddenlinkmail.com, (337) 202-1908",
Donaldsonville Arc,USA,Louisiana," ,Clay St,1030,Donaldsonville,70346-3518,Ascension Parish",31.244823,-92.145024,"daarc@eatel.net, (225) 473-4516",
Iberville Arc,USA,Louisiana,"201, , ,Plaquemine,70765-0201,Iberville Parish",31.244823,-92.145024,"michael_arci@bellsouth.net, (225) 687-4062",
Rapides Arc,USA,Louisiana," ,Ashley Ave,1700,Alexandria,71301-7343,Rapides",31.244823,-92.145024,"rapidesarc@aol.com, (318) 445-5287",
St. James Arc,USA,Louisiana," ,Health Unit St,29150,Vacherie,70090-4221,St. James Parish",31.244823,-92.145024,"knelson@clarkearc.com, (225) 265-7910",
St. John Arc,USA,Louisiana," ,Bamboo Rd,101,La Place,70068-6457,St. John the Baptist Parish",31.244823,-92.145024,"stjohnarc@comcast.net, (985) 652-8003",
St. Martin Arc,USA,Louisiana," ,Lelia St,500,St. Martinville,70582-4109,St. Martin Parish",31.244823,-92.145024,(337) 394-4928,
St. Mary Arc,USA,Louisiana,"3, , ,Centerville,70522-0003,St. Mary Parish",31.244823,-92.145024,"stmarycente3554@bellsouth.net, (337) 836-9445",
TARC,USA,Louisiana," ,E Church St,201,Hammond,70401-2628,Tangipahoa Parish",31.244823,-92.145024,"robin@tarc-hammond.com, (985) 345-8811",
Terrebonne Arc,USA,Louisiana," ,McCord Rd,1,Houma,70363-5547,Terrebonne Parish",31.244823,-92.145024,"adminasst@terrebonnearc.org, (985) 876-4465",
The Arc Caddo-Bossier,USA,Louisiana," ,Jordan Street,351,Shreveport,71101,Caddo Parish",31.244823,-92.145024,"langlin@thearccaddobossier.org, (318) 221-8392",
The Arc of Acadiana,USA,Louisiana," ,Redwood Dr,3716,New Iberia,70560-3379,Iberia Parish",31.244823,-92.145024,(337) 367-6813,
The Arc of Baton Rouge,USA,Louisiana," ,Kelwood Ave,8326,Baton Rouge,70806-4803,East Baton Rouge Parish",31.244823,-92.145024,"info@arcbatonrouge.org, (225) 927-0855",
The Arc of East Ascension,USA,Louisiana," ,E Ascension Complex Blvd,1122,Gonzales,70737-4265,Ascension Parish",31.244823,-92.145024,"opportunities@eatel.net, (225) 621-2000",
The Arc of Greater New Orleans,USA,Louisiana," ,S Labarre Rd,925,Metairie,70001-5921,Jefferson Parish",31.244823,-92.145024,"arcgnoinfo@bellsouth.net, (504) 837-5140",
The Arc of Sabine,USA,Louisiana,"1150, , ,Many,71449-1150,Sabine Parish",31.244823,-92.145024,"sarc@suddenlinkmail.com, (318) 256-2025",
The Arc of St. Charles,USA,Louisiana,"455, , ,Boutte,70039-0455,St. Charles Parish",31.244823,-92.145024,"thearcsc@bellsouth.net, (985) 785-0971",
Vermilion Arc,USA,Louisiana," ,S Severin St,809,Erath,70533-4147,Vermilion Parish",31.244823,-92.145024,(337) 937-6113,
Autism Society Maine,USA,Maine," , , ,Winthrop,04364,Kennebec County",45.253783,-69.445469,800-273-5200,
Easter Seals of Maine,USA,Maine," ,Presumpscot Street,125,Portland,04103,Cumberland County",45.253783,-69.445469,207-828-1754,
KFI,USA,Maine," ,Central St Ste A,1024,Millinocket,04462-2111,Penobscot",45.253783,-69.445469,(207) 723-9466,
Arc of Southern Maryland,USA,Maryland,"1860, , ,Prince Frederick,20678-1860,Calvert",39.045755,-76.641271,"info@arcsomd.org, (410) 535-2413",
Arc of Washington County,USA,Maryland," ,Florida Ave,820,Hagerstown,21740-3619,Washington",39.045755,-76.641271,"webmaster@arcwc-md.org, (301) 733-3550",
The Arc Baltimore,USA,Maryland," ,York Rd,7215,Baltimore,21212-1528,Baltimore",39.045755,-76.641271,(410) 296-2272,
The Arc Carroll County,USA,Maryland," ,Kriders Church Rd,180,Westminster,21158-4307,Carroll",39.045755,-76.641271,"drowe@arccarroll.com, (410) 848-4124",
The Arc Northern Chesapeake Region,USA,Maryland," ,Philadelphia Road,4513,Aberdeen,21001,Harford",39.045755,-76.641271,(410) 879-6785,
The Arc of Frederick County,USA,Maryland," , , ,Frederick,21703-8626,Frederick",39.045755,-76.641271,"info@arcfc.org, (301) 663-0909",
The Arc of Howard County,USA,Maryland," ,Homewood Rd,11735,Ellicott City,21042-1509,Howard",39.045755,-76.641271,"info@archoward.org, (410) 730-0638",
The Arc of Montgomery County,USA,Maryland," ,Nebel St,11600,Rockville,20852-2538,Montgomery",39.045755,-76.641271,"maryw@arcmontmd.org, (301) 984-5777",
The Arc of Prince George’s County,USA,Maryland," ,McCormick Dr,1401,Largo,20774-5507,Prince George's",39.045755,-76.641271,(301) 493-6674,
The Arc of the Central Chesapeake Region,USA,Maryland," ,Spa Rd,931,Annapolis,21401-3540,Anne Arundel",39.045755,-76.641271,"carr21037@comcast.net, (410) 268-8085",
Berkshire County Arc,USA,Massachusetts," ,South St,395,Pittsfield,01201-6803,Berkshire",42.407211,-71.382437,"bcarc@bcarc.org, (413) 499-4241",
Brockton Area Arc,USA,Massachusetts," ,W Chestnut St,1250,Brockton,02301-5533,Plymouth",42.407211,-71.382437,"baarc@brocktonarc.net, (508) 583-8030",
Greater Waltham Arc,USA,Massachusetts," ,Chestnut St,56,Waltham,02453-4433,Middlesex",42.407211,-71.382437,"jwiswall@gwarc.org, (781) 899-1344",
MassWorks,USA,Massachusetts," ,Morrissey Blvd.,100,Boston,02125,Suffolk",42.407211,-71.382437,"ici@umb.edu, (617) 287-4300, (617) 287-4352, (617) 287-4350",
Minute Man Arc for Human Services,USA,Massachusetts," ,Main St,1269,Concord,01742-3099,Middlesex",42.407211,-71.382437,"cpowderly@minutemanarc.org, (978) 287-7932",
Northeast Arc,USA,Massachusetts," ,Holten St,64,Danvers,01923-1973,Essex",42.407211,-71.382437,(978) 762-4878,
South Norfolk County Arc,USA,Massachusetts," ,Clapboardtree St,789,Westwood,02090-1717,Norfolk",42.407211,-71.382437,"info@arcsouthnorfolk.org, (781) 762-4001",
Southern Worcester County Arc,USA,Massachusetts,"66, , ,Southbridge,01550-0066,Worcester",42.407211,-71.382437,"info@thecenterofhope.org, (508) 764-4085",
The Arc of Cape Cod,USA,Massachusetts,"428, , ,Hyannis,02601-0428,Barnstable",42.407211,-71.382437,"info@arcofcapecod.org, (508) 790-3667",
The Arc of East Middlesex,USA,Massachusetts," ,Gould St,20,Reading,01867-2927,Middlesex",42.407211,-71.382437,"mobrien@theemarc.org, (781) 942-4888",
"The Arc of Great Plymouth, Inc.",USA,Massachusetts," ,Armstrong Road,52,Plymouth,02360-7333,Plymouth",42.407211,-71.382437,"info@thearcofgp.com, (508) 732-9292",
The Arc of Greater Haverhill-Newburyport,USA,Massachusetts," ,Wingate St Ste 301,57,Haverhill,01832-5720,Essex",42.407211,-71.382437,"eileen.woelfel@thearcofghn.org, (978) 373-0552",
The Arc of Greater Lawrence,USA,Massachusetts," ,Parker St,1,Lawrence,01843-1540,Essex",42.407211,-71.382437,"sleibowitz@classinc.org, (978) 975-8587",
The Arc of Northern Bristol County,USA,Massachusetts," ,Park St,141,Attleboro,02703-3020,Bristol",42.407211,-71.382437,"info@arcnbc.org, (508) 226-1445",
The Arc of Opportunity in North Central Massachusetts,USA,Massachusetts," ,Main St,564,Fitchburg,01420-8011,Worcester",42.407211,-71.382437,"m.heafy@arc-matson.org, (978) 343-6662",
The Arc of The South Shore,USA,Massachusetts," ,River St,371,North Weymouth,02191-2200,Norfolk",42.407211,-71.382437,"info@arcsouthshore.org, (781) 335-3023",
The Charles River Center,USA,Massachusetts," ,E Militia Heights Dr,59,Needham,02492-1341,Norfolk",42.407211,-71.382437,(781) 972-1000,
The United Arc of Franklin & Hampshire Counties,USA,Massachusetts," ,Summer St,111,Greenfield,01301-1481,Franklin",42.407211,-71.382437,"molloy1@verizon.net, (413) 774-5558",
Arc – Gogebic County,USA,Michigan,"45, , ,Bessemer,49911-0045,Gogebic",44.314844,-85.602364,(906) 663-4461,
ARC Advocacy & Resource Center of Ottawa County,USA,Michigan," ,136th Ave Ste 90,665,Holland,49424-1897,Ottawa",44.314844,-85.602364,"info@arc-resources.org, (616) 738-8570",
Arc Downriver,USA,Michigan," ,13th St,4212,Wyandotte,48192-7003,Wayne",44.314844,-85.602364,"arcriver@sbcglobal.net, (734) 283-0710",
Arc Manistee,USA,Michigan,"545, , ,Manistee,49660-0545,Manistee",44.314844,-85.602364,"beldridg@manistee-net.com, (231) 723-6205",
Arc Muskegon,USA,Michigan," ,Wesley Ave,1145,Muskegon,49442-2100,Muskegon",44.314844,-85.602364,"info@arcmuskegon.org, (231) 777-2006",
Arc Newaygo County,USA,Michigan," ,W 72nd St,5646,Fremont,49412-7515,Newaygo",44.314844,-85.602364,"maggie@arckent.org, (616) 924-5840",
Arc Ogemaw County,USA,Michigan," ,Somerset Ter,117,Roscommon,48653-8748,Ogemaw",44.314844,-85.602364,"girardih@yahoo.com, (989) 275-9563",
Arc Services of Macomb,USA,Michigan," ,N Gratiot Ave,44050,Clinton Township,48036-1308,Macomb",44.314844,-85.602364,"arcservices@arcservices.org, (586) 469-1600",
Community Advocates,USA,Michigan," ,S Westnedge Ave,814,Kalamazoo,49008-1162,Kalamazoo",44.314844,-85.602364,"contact@communityadvocates.org, (269) 342-9801",
The Arc Allegan,USA,Michigan," ,Hubbard St,219,Allegan,49010-1382,Allegan",44.314844,-85.602364,"arcallegan@frontier.com, (269) 673-8841",
The Arc Arenac Area,USA,Michigan,"805, , ,Standish,48658-0805,Arenac",44.314844,-85.602364,ARC.Arenac@gmail.com,
The Arc Bay County,USA,Michigan," ,E Riverview Dr,3106,Bay City,48706-1321,Bay",44.314844,-85.602364,(989) 893-1346,
The Arc Dearborn/Dearborn Heights,USA,Michigan," ,Park St,22450,Dearborn,48124-2730,Wayne",44.314844,-85.602364,"info@thearcdearborn.org, (313) 562-1787",
The Arc Delta County,USA,Michigan,"651, , ,Escanaba,49829-0651,Delta",44.314844,-85.602364,(906) 786-9212,
The Arc Detroit,USA,Michigan," ,W Hancock St,51,Detroit,48201-1303,Wayne",44.314844,-85.602364,"thearcdetroit@aol.com, (313) 831-0202",
The Arc Grosse Pointe/Harper Woods,USA,Michigan,"36130, , ,Grosse Pointe,48236-0130,Wayne",44.314844,-85.602364,(313) 885-5928,
The Arc Kent County,USA,Michigan," ,Michigan St NE Ste D,629,Grand Rapids,49503-3587,Kent",44.314844,-85.602364,"info@arckent.org, (616) 459-3339",
The Arc Livingston,USA,Michigan," ,Durant Dr Ste 1,1044,Howell,48843-9536,Livingston",44.314844,-85.602364,"pnowak@arclivingston.org, (517) 546-1228",
The Arc of Calhoun County,USA,Michigan," ,Hamblin Ave W Ste A,217,Battle Creek,49037-8547,Calhoun",44.314844,-85.602364,"info@thearccalhoun.org, (269) 966-2575",
The Arc of Central Michigan,USA,Michigan,"171, , ,Mount Pleasant,48804-0171,Isabella",44.314844,-85.602364,"info@arcofcentralmi.org, (989) 773-8765",
The Arc of Mid-Michigan,USA,Michigan,"63, , ,Owosso,48867,Shiawasee",44.314844,-85.602364,"arcshia@michonline.net, (989) 723-7377",
The Arc of Midland,USA,Michigan," ,W Main St Ste 101,220,Midland,48640-5184,Midland",44.314844,-85.602364,"arcadmin@thearcofmidland.org, (989) 631-4439",
The Arc of Northwest Wayne County,USA,Michigan," ,Five Mile Road,26049,Redford,48239,Wayne",44.314844,-85.602364,"info@thearcnw.org, (313) 532-7915",
The Arc of Oakland County,USA,Michigan," ,W Big Beaver Rd,1641,Troy,48084-3501,Oakland",44.314844,-85.602364,"info@thearcoakland.org, (248) 816-1900",
The Arc of St. Clair County,USA,Michigan," ,26th St,1033,Port Huron,48060-4853,St. Clair",44.314844,-85.602364,"info@thearcscc.org, (810) 982-3261",
The Arc of Western Wayne County,USA,Michigan," ,S Wayne Rd,2257,Westland,48186-5432,Wayne",44.314844,-85.602364,(734) 729-9100,
The Arcadia Institute,USA,Michigan," ,Parsons Street,225,Kalamazoo,49007,Kalamazoo",44.314844,-85.602364,269-254-8224,
